"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"P1",1,0.768310560649279,1.49241196903792,2.0641463379023,601.579,"x6","exp_dbl(x5)","x5","troot(x7)","x9"
"P1",2,0.764986365762738,1.50046997442605,2.07667348877558,617.231,"x4","x4*x5","x5","troot(x7)","x6"
"P1",3,0.765077080634059,1.49871808800772,2.07620663262398,612.563,"x5","x6","x4","x7","x9"
"P1",4,0.764927915814636,1.50052993528255,2.07689326070323,601.642,"x5","x6","x4","x9","x8"
"P1",5,0.764920537183108,1.50055681510875,2.07692095477531,585.866,"x5","x4","x5*x5","x6","x5*x4"
"P1",6,0.764904021723078,1.50055270341473,2.07698322739101,559.007,"x5","x5*x5","x6","x4","x5*x4"
"P1",7,0.765505774730859,1.49837080491431,2.07456982526136,571.807,"x5","exp_dbl(x5)","exp_dbl(x5)*x4","x9","x8"
"P1",8,0.754974495789157,1.51740124493242,2.11471605041875,634.629000000001,"x6","x9","x8","x3","x7"
"P1",9,0.764926816544016,1.5005446874538,2.07689712811159,542.437,"x6","x5","x9","x8","x5*x5"
"P1",10,0.76506568364481,1.50037363340422,2.07636855848332,575.335,"x9","x4","x8","x5","x5*x5"
"P1",11,0.764922831365884,1.50055728346919,2.07691222385445,569.508000000001,"x6","x5","x4","troot(x7)","x5*x5"
"P1",12,0.754854426977902,1.51772770437474,2.1151364108412,584.454000000001,"x6","x7","x5","exp_dbl(x5)","exp_dbl(x4)"
"P1",13,0.766194969559481,1.49589010029004,2.07199899334638,577.455,"x6","x5","x9","x8","exp_dbl(x5)"
"P1",14,0.770141218999393,1.49112937123487,2.05732213830708,592.998999999999,"x4","x5","x6","x9","x8"
"P1",15,0.765016012200962,1.50039595515607,2.07655422672861,590.527,"x5","x6","x4","x5*x5","x4*x5"
"P1",16,0.764941447148055,1.50054568972253,2.07684096662325,590.604000000001,"x5","x6","troot(x7)","x4","x9"
"P1",17,0.765184672064303,1.49899612423202,2.07573325501179,587.987000000001,"exp_dbl(x5)","x6","x5","x9","x8"
"P1",18,0.765183852486836,1.50019036349074,2.07594909543033,570.449000000001,"x6","x5","x5*x5","x4","x4*x5"
"P1",19,0.769024719028911,1.48375518857772,2.06187594340941,580.638999999999,"exp_dbl(x5)","x5","x6","x9","x8"
"P1",20,0.764937275733889,1.50056409773348,2.07685747254784,578.568000000001,"x5","x6","x9","x8","x4"
"P1",21,0.765184108788251,1.500183625235,2.07594806726589,603.847000000002,"x5","x6","x4","troot(x7)","x5*x5"
"P1",22,0.765116093895792,1.4990931621396,2.07601322949292,573.683999999999,"x6","x5","exp_dbl(x5)","x9","x8"
"P1",23,0.769776581432653,1.48959332999811,2.05859406356022,581.116,"x6","x4","x5","x9","x8"
"P1",24,0.764904132192268,1.499592032258,2.07679501246125,584.817999999999,"x5","x6","x9","x8","exp_dbl(x5)"
"P1",25,0.756807905201302,1.51643423159062,2.10776436469521,573.759,"x9","x8","exp_dbl(x5)","x7","x5"
"P1",26,0.755197029385087,1.51690995988675,2.1138649700215,567.335000000001,"exp_dbl(x5)","x5","x9","x8","x7"
"P1",27,0.772787093976259,1.48516494223077,2.04795038569176,578.561,"exp_dbl(x5)","x9","x5","x8","x4"
"P1",28,0.76492145239922,1.50055368944472,2.07691734573493,574.248999999998,"x5","x6","x9","x8","troot(x7)"
"P1",29,0.765181252486018,1.49904375280478,2.07576709119235,549.882999999998,"x6","exp_dbl(x5)","x5","x9","x8"
"P1",30,0.765473757742246,1.49845585018225,2.07469164075537,568.915000000001,"x6","x5","exp_dbl(x5)","x9","x8"
"P2",1,0.770082340107188,1.49181572286127,2.05762625312556,609.828000000001,"x6","x5","p0(x5)*x4","x5*troot(x5)","x7"
"P2",2,0.769728453062991,1.51045075886903,2.05917553786603,561.992999999999,"x5","x6","x7","x5*exp_dbl(x5)","p0(x5)*x4"
"P2",3,0.755353206446822,1.51692982417269,2.11341175914291,618.294999999998,"x7","x5","x6","exp_dbl(x4)","x9"
