"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S1",1,0.76680259417883,1.49511655813915,2.06969071753761,3287.282,"exp_dbl(x5)","x6","x5","x4*exp_dbl(x5)","x9"
"S2",1,0.764000524135514,1.50246666287246,2.08033230536302,4037.734,"troot(x7)","x6","x5*x5","x5","x4"
"S3",1,0.764898629973311,1.50057766792081,2.07700271920525,3526.858,"x4","x5","x5*x5","troot(x7)","x4*x5"
"S4",1,0.766979673218397,1.4954149826783,2.06902385845328,3800.249,"exp_dbl(x5)","x6","x5","exp_dbl(x5)*x4","p0(x7)"
"S5",1,0.770241761872926,1.49175892943559,2.05678290030237,3211.028,"p0(x5)*x4","x7","exp_dbl(x5)","x5","x6"
"S6",1,0.756333769321568,1.51620552771939,2.10945894750223,3447.929,"x4","x9","x8","x7","x4*x4"
"S1",2,0.77159513837256,1.49267347371487,2.05219264703493,3008.609,"troot(x5*x4)","troot(x4*x4)","x5","x6","x4"
"S2",2,0.755440783822428,1.51674539934305,2.1131102134916,3732.124,"x7","exp_dbl(x4)","exp_dbl(x5)","x5","x9"
"S3",2,0.764936972694827,1.50056410636644,2.07685862535263,3532.821,"troot(x7)","x4","x5","x5*x5","x4*x5"
"S4",2,0.765933334367495,1.49848471112963,2.07270619477839,3771.564,"x4","x5","x6","p3(x5)","x4*x5"
"S5",2,0.754827404798713,1.51778520024942,2.11524072270724,3468.92,"exp_dbl(x4)","x7","exp_dbl(x5)","x6","x5"
"S6",2,0.766120325280076,1.49992164435361,2.07232730643622,3472.678,"x4","x5","x5*x5","x4*x5","x6*x1"
"S1",3,0.76503713327709,1.50042733935281,2.07647598650363,2783.694,"x4","x5","troot(x7)","x5*x5","x4*x5"
"S2",3,0.764898706887264,1.50058419262981,2.07700251504003,3700.051,"x4","x5","troot(x7)","x5*x5","x4*x5"
"S3",3,0.764898759632044,1.50058345149086,2.07700231490869,3704.839,"x5","x5*x5","x4","x6","troot(x7)"
"S4",3,0.774453149696654,1.48031204496361,2.04104149791599,3698.018,"x3","x3*(x4*sigmoid(x5))","x6","p0(x7)","x4*x3"
"S5",3,0.765190069014416,1.49903642784517,2.07573313521449,3465.157,"x5","x4*exp_dbl(x5)","exp_dbl(x5)","troot(x7)","x6"
