"Experiment","Run","Correlation","RMSE","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",1,0.901151166997774,4.36869608385625,2.73653104910772,-963.961409372809,0.811625061570571,17,NA,"x6","x12","x10",2.71763455642371,1.67307997111552,1.55824941998857
"P2",1,0.826679647305419,7.08064551606746,3.5119552454088,-963.433342889123,0.50515958573724,14,NA,"x7","x12","x10",1.74890579668204,1.30822527875061,1.28372316412054
"P3",1,0.895025008685852,4.49264337970752,2.82892020887285,-965.340886928853,0.800784397493242,12,NA,"x8","x1","x10",1.32783301714923,1.01099111907699,1.00767928100966
"P4",1,0.856001228344995,5.58127544385444,3.22683818534493,-973.307015927456,0.692541595624862,16,NA,"x12","x8","x9",1.40348018644244,1.23383882807075,1.13645537221331
"P5",1,0.886654390816921,4.71532865846657,2.89870989951673,-970.136673461966,0.780546054295496,10,NA,"x8","x1","x9",1.70943368906964,1.00010256116158,1.00003609562234
"P6",1,0.857209464892997,5.69784167855228,3.22695722189127,-983.999207922769,0.679564803988439,10,NA,"x13","x11","x1",1.43245203843702,1.03293565969377,0.999999978464975
"P1",2,0.888343783700814,4.62853091916337,2.8919958878933,-980.26647172874,0.788550922276404,13,NA,"x6","x13","x1",2.30000009891568,1.50597760206757,1.20666275271592
"P2",2,0.896850791879656,4.45514918296276,2.82965216432902,-958.912420462008,0.804095704270586,12,NA,"x9","x6","x8",2.2794315878693,2.26611151871225,2.1224523167379
"P3",2,0.846291585346188,6.08950905368319,3.22625005478829,-965.110359408548,0.633997528717795,15,NA,"x11","x1","x8",1.50459129260309,1.39800294180086,1.37952272463383
"P4",2,0.818001824915453,6.88710161536428,3.57460126486997,-970.051910276615,0.531842011543193,14,NA,"x1","x8","x10",1.56719370836036,1.31224608458654,1.20532999330354
"P5",2,0.894879245114531,4.49615558808376,2.85057613391726,-965.340886928853,0.800472794659339,11,NA,"x12","x9","x13",1.20639742507924,1.19865038837843,1.19705028562546
"P6",2,0.888107140486748,4.65222316072214,2.82158601274253,-974.101828125563,0.786380676730013,16,NA,"x1","x9","x11",1.14581757428617,1.02202381993175,0.999812152988893
"P1",3,0.853009274999175,5.8586639618469,3.15922419372717,-969.637927273249,0.661220881097211,18,NA,"x10","x9","x1",1.56597193374464,1.299930764666,1.1766315921951
"P2",3,0.884845871206258,4.85791778660341,2.90509418861771,-965.28799245686,0.767073029487224,16,NA,"x10","x6","x8",1.60069465380172,1.56244101763668,1.15887527588946
