"Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,0.871210057516861,3.03106407928835,5.14947152611462,-968.462137395551,0.738275258865005,20,4536.582,"x9*x6","sigmoid(x13)*x9","x9*x13",1,1,1
"S2",1,0.897358457987721,2.81426405268722,4.44602631883193,-969.71339943643,0.804897194121997,14,4928.44,"x6*x6","x9*p0(x13)","p3(x6*x6)*x9",1,1,1
"S3",1,0.894927445106142,2.85427638096661,4.49510833313937,-965.340886928853,0.800565732509464,20,5801.369,"x10*p0(x13)","x10*x6","x10",1,1,1
"S4",1,0.877574232960659,3.07256143704283,4.97680506353419,-971.978450085872,0.755532733115252,16,4273.891,"x9*x6","p0(x13)*x9","x9",1,1,1
"S5",1,0.858174447197726,3.17342193187347,5.4777062614775,-975.669919031546,0.70384645447331,20,4073.843,"sigmoid(x13)*x9","x6","x11",1,1,0.99999999999931
"S6",1,0.891662949335291,2.88204372660212,4.56077243148282,-967.476983094379,0.794696542931612,13,3855.297,"x11","x10*x6","p0(x13)*x10",1,1,1
"S1",2,0.835626698280616,3.37911802773994,6.34430672824833,-963.660382026796,0.602728143303344,22,4766.055,"exp_dbl(x13)*x1","x6*x10","x11",1,1,0.999999999999993
"S2",2,0.793339230389279,3.89464665900699,7.54197047721513,-970.597147189491,0.43857840605386,15,4992.437,"x10","x6*x10","sigmoid(x13)*x1",1,1,1
"S3",2,0.894728933009893,2.8540565405418,4.4991539548273,-965.340886928853,0.800206587137988,14,5876.611,"x6","x10","p0(x13)*x10",1,1,1
"S4",2,0.844321476843949,3.31162848992169,6.06780707226963,-969.563064862674,0.636601622099353,12,4190.427,"x6*x9","x6","x9*x13",1,1,1
"S5",2,0.896650196876731,2.87076937113707,4.46977135162502,-966.137138888535,0.802807645723478,17,4358.812,"p3(x6)*x9","p3(x6)","p0(x13)*x9",1,1,1
"S6",2,0.886786848791612,2.94386607759587,4.66388306579064,-973.694841368025,0.78530854313864,14,3911.464,"x6","p0(x6)","x9*p0(x13)",1,1,1
"S1",3,0.899871644257563,2.75062060617981,4.39325809776637,-962.288086286062,0.809500915357439,21,5363.805,"p0(x13)*x9","x11","p3(x6)*x9",1,1,0.999999999988571
"S2",3,0.809372823374104,3.62062746866066,7.30423357312273,-967.351434976748,0.473414662983174,19,5135.077,"x1*sigmoid(x13)","x6","x10*p3(p3(x6))",1,1,1
"S3",3,0.876660995633461,2.9531963701552,5.0514472255538,-964.490919673195,0.748144698553378,16,5948.894,"p3(x6)","p0(x13)*x9","p3(x6)*x9",1,0.999999999999998,0.999999943890347
"S4",3,0.895142168902282,2.84520419351275,4.49085651353108,-965.340886928853,0.800942834654298,15,4279.558,"p0(x13)*x10","x6*x10","x13",1,1,0.999999998929962
"S5",3,0.799217896983697,3.79326789518712,7.68827092638927,-979.519301119164,0.416586042641739,16,4082.803,"troot(x6)","p3(sigmoid(x13))*x1","((x5*x6)*(x6*x6))*x11",1,1,1
"S6",3,0.8912814954816,3.03520039630608,4.57077401524364,-978.534651755309,0.79379511177307,13,3588.89,"x6","x6*x9","troot(x13)*x9",1,1,1
"S1",4,0.865441500965272,3.15248065461012,5.51919835965202,-973.231443849692,0.699342901122469,18,4333.367,"x6*(x6*(x11*(x6*x10)))","troot(exp_dbl(x13*x8))","p0(x6)",1,0.999999999999979,0.999999942037264
"S2",4,0.826127283339779,3.52405167732171,7.11291809245448,-963.433342889123,0.500638481265787,17,5256.619,"x6*x10","x6","x1*sigmoid(x13)",1,1,1
"S3",4,0.808952470585187,3.73046982508873,7.27949085635225,-969.670924804105,0.476976182183541,18,5971.303,"x6","sigmoid(x13)*x1","x11",1,1,0.999999999740691
"S4",4,0.897843559523858,2.70524341802135,4.43661314148194,-970.324167862452,0.80572246730431,12,4308.189,"p3(x6)","p0(x13)*x10","(x10*p3(x6))*x11",1,1,1
"S5",4,0.868642835447664,3.10742599314278,5.14796137168068,-972.228239795974,0.738428745225991,18,4003.863,"x6*x6","x9","x6*x9",1,1,1
"S6",4,0.831798243568641,3.47845008372749,6.23950048477374,-976.752690755427,0.615745375988266,18,3581.956,"x6","x10","x11",1,0.999991149141444,0.999980941914809
"S1",5,0.898945754325254,2.75054172767717,4.41261295618499,-963.457276643767,0.807818699287917,23,4872.268,"p0(x13)*x10","x13","x11",1,0.974605467484792,0.935038724667254
"S2",5,0.890218693611629,2.91022148791689,4.58931152549071,-968.364014526626,0.792119125758835,13,4757.334,"x10*x6","p0(x13)*x10","x10",1,1,1
"S3",5,0.872432181189917,3.01021770807731,5.08090941949421,-969.610987481565,0.745198276145196,19,6220.285,"x6*x9","x9*x13","x9*exp_dbl(x13)",1,1,1
"S4",5,0.85751628638034,3.19025204572602,5.474184047802,-974.373127413324,0.704227190734762,13,4332.518,"x8","x1","x11",1,1,1
"S5",5,0.793792220603068,3.80202010688349,8.33640059810515,-974.220444145859,0.314075036293875,15,4130.241,"x6*x1","x10","(sigmoid(x13)*x1)*x6",1,1,1
"S6",5,0.817046637397564,3.64083178827061,6.69291375864166,-983.38186815626,0.55787007080024,11,3558.561,"exp_dbl(x13)*x1","troot(x13)*p3(x11*x6)","sigmoid(x6)",1,1,0.999999985064812
"S1",6,0.871186215237488,3.03046534950507,5.15032337150638,-968.462137395551,0.738188660675635,21,4992.877,"sigmoid(x13)*x9","p3(x6)","x1",1,1,0.999997047925438
"S2",6,0.798287806468395,3.60996906489987,8.30627889261619,-972.867122609121,0.319022951680635,17,4933.47,"x11","x13*x6","sigmoid(x13*x8)*(x13*x6)",1,1,0.999999999999984
"S3",6,0.843205016519393,3.42465666422188,6.2444946932442,-967.218920839472,0.615130001176486,24,6034.943,"x1*exp_dbl(x13)","x6*x13","x1",1,0.999999998292916,0.999999958590925
"S4",6,0.824076233853664,3.50022435899158,6.7386844054743,-970.592116362538,0.551802229729737,16,4287.68,"x10*x6","x6*x6","x1*sigmoid(x13)",1,1,1
"S5",6,0.885505371316939,2.95437586710597,4.74177647432175,-982.088640115898,0.778077359018016,17,3848.905,"x9*troot(p0(x13*x6))","x9","x6*x6",1,1,1
"S6",6,0.794812845203585,3.8744340625393,7.52711688502575,-969.926092995957,0.440787620647955,11,3756.115,"sigmoid(x13)*x1","x6*x10","x11",1,1,1
"S1",7,0.894906356733047,2.85498471344082,4.49552973421852,-965.340886928853,0.800528338191629,19,4574.493,"x10*x6","x10*p0(x13)","x9",1,1,0.999999999772542
"S2",7,0.814329433796338,3.6870167539834,7.56061359744048,-967.815878520127,0.435799401111652,15,5355.945,"x9","x10","x6*x10",1,1,1
"S3",7,0.87020342823108,2.99804758198185,5.23927885462878,-972.439237858361,0.729066638995752,18,6348.998,"sigmoid(x13)*x9","x13*(x5*x10)","x11",1,0.999999999999939,0.999999999999859
"S4",7,0.82863673854874,3.46206916227873,6.52326294701822,-973.504021214006,0.580000061692474,15,4138.167,"x11","(exp_dbl(x13)*x5)*x1","p3(x6)",1,1,0.999999999999999
"S5",7,0.894879245112587,2.85057613406452,4.49615558812833,-965.340886928853,0.800472794655383,14,3809.093,"x6","x10","x10*p0(x13)",1,1,1
"S6",7,0.851715101744791,3.31826419951918,5.59614438742325,-979.558406859429,0.69090122821006,13,3693.138,"sigmoid(x13)*x9","x11","x1",1,0.999999999999071,0.99999768723363
"S1",8,0.895852003520403,2.87098249194824,4.47575578294185,-971.306369568774,0.802279263398941,17,4723.96,"troot(x13)*x9","(x6*x9)*x6","x9*x6",1,0.999999999999994,0.999999999999549
"S2",8,0.89684509205707,2.82976804863888,4.45527579613444,-958.912420462008,0.804084569102865,22,5657.649,"p3(x6*x6)*x9","p0(x13)*x9","x13*x9",1,1,0.999999949086692
"S3",8,0.83751937203722,3.35511496326987,6.36234970458459,-966.943223681164,0.600465276851732,16,5489.552,"x6*x6","x10*x6","x1*sigmoid(1+x13)",1,1,0.999999999999913
"S4",8,0.899941212340626,2.71993860271811,4.39191433178874,-968.420637400901,0.809617433455745,11,4018.575,"(x6*x6)*x6","x10*p0(x13)","p3(x6)*x10",1,1,1
"S5",8,0.88568361326642,2.97448991690439,4.68944141964706,-974.897598303372,0.782949052076201,17,4171.953,"p0(x13)*x9","p3(x6)","x8",1,0.999999999953482,0.99997889112267
"S6",8,0.883182133121068,2.9253016884926,4.7922934626976,-974.101828125563,0.77332362102059,11,4011.006,"p3(x6)","x9*p3(x6)","p0(x13)*x9",1,1,1
"S1",9,0.860219697054549,3.17170520916165,5.54370044642436,-970.514099028964,0.696667484197078,20,4874.329,"(x10*x1)*exp_dbl(x13)","x11","x13*x6",1,1,0.999999999236485
