"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"P1",1,0.891428621391879,2.95253642635353,4.56509586841474,633.559,"x13","x5","x12","x11","x9"
"P1",2,0.839992481930067,3.34659162948246,5.92488600396743,730.014,"x1","x12","x6","x9","x9*sigmoid(x13)"
"P1",3,0.894936003410175,2.85504377817204,4.49492786915472,509.783,"x6","x13","x10","x9","p0(x13)*x10"
"P1",4,0.901854613198234,2.70625128976937,4.36493612924244,565.661,"x5","x13","x6","x11","x11*x10"
"P1",5,0.883043775746109,3.06689637988377,4.72691422603187,560.118,"x9","x13","x11","x8","x5"
"P1",6,0.85570268258345,3.25788153741379,5.45501110143352,505.08,"x11","x9","x1","x10","x6*x6"
"P1",7,0.831473306961632,3.48880946856043,6.78053180812857,579.263,"x10","x11","exp_dbl(x13)*x1","x10*x6","x9"
"P1",8,0.888940040190495,2.87185220472256,4.62407177062827,589.669,"x10","x8","x11","p3(x6)","x10*p3(x6)"
"P1",9,0.819765242043952,3.63784223496887,6.62455190686654,609.355,"x1","x11","x10","x13","x12"
"P1",10,0.835190586212294,3.54172740082172,5.77550206534615,674.407,"x10","x8","x6","x11","x1"
"P1",11,0.822950274897277,3.62088689154935,6.57586624147957,636.151,"x6","x5","x1","x11","x13"
"P1",12,0.838980289943609,3.49043619908593,5.78338143088071,556.062,"x8","x11*x6","x13","x11","x6"
"P1",13,0.745754401070212,4.162643313326,9.80955113953651,590.826,"x11","x8","x6","x13","x1"
"P1",14,0.816310048716858,3.63324297943567,6.47950262647017,535.935999999999,"x8","x11","x6","exp_dbl(x13)*x1","p0(x6)*x11"
"P1",15,0.849130919367858,3.41024865381005,5.81778529513854,571.974,"x6","x1","x11","x9","x8"
"P1",16,0.889586868831551,2.81543724061102,4.60885822081069,636.012999999999,"x13","x9","x11","x6*x9","x8"
"P1",17,0.27832980215643,4.58686071773596,14.0959050390509,617.979000000001,"x11","x9","x13","x6","x13*(x10*x6)"
"P1",18,0.876316120889811,3.04086001809289,4.89378506838903,564.701999999999,"x1","x9","x11","x6","x12"
"P1",19,0.886040777277321,2.93348782224644,4.67641029974385,521.508000000002,"x10","x13","x11","x8","x5"
"P1",20,0.724514057326277,4.36913040531738,10.7755866129109,482.791000000001,"x13","x6","x1","x11","x8"
"P1",21,0.826595260671313,3.61049072822537,6.4578615818468,448.880000000001,"x8","x13","x6","x1","(x6*x11)*x5"
"P1",22,0.899518255394277,2.73901570548929,4.40057415121133,541.484,"x10","x13","x11","x1","p3(x6)"
