"Experiment","Run","Correlation","MAE","RMSE","Time","FirstFeature","SecondFeature","ThirdFeature","FourthFeature","FifthFeature"
"S1",1,0.891913386778856,2.88244651037036,4.56759199951057,1733.362,"x10*x6","troot(x13)*x10","x13","x11","x8"
"S2",1,0.880952757485607,3.0508251627382,4.8596498475869,2175.454,"x9*x6","p0(x13)*x9","x1","x6","x5"
"S3",1,0.859208841324946,3.18586579659063,5.54136347071495,1916.747,"x9*x6","x11","x1","p0(x13)*x9","x8"
"S4",1,0.877574232960659,3.07256143704283,4.97680506353419,1678.669,"x9*x6","p0(x13)*x9","x9","x8","x6"
"S5",1,0.855491535189684,3.25790622418054,5.49222892410537,1448.307,"(x6*x11)*x9","x10*x13","p3(x6)","sigmoid(x13)*x9","x1"
"S6",1,0.894858972791748,2.7868537995065,4.49657489870642,1666.912,"x11","p3(x6)","x8","x9","x10*p0(x13)"
"S1",2,0.812288072460538,3.74749947144827,6.80619589881361,1833.944,"x1*exp_dbl(x13)","x6","x6*(x13*x11)","x6*x11","x5"
"S2",2,0.801292614318535,3.80837389967656,7.2512096810063,1940.432,"x6*x6","sigmoid(x13)*x1","x6*x11","x13","x10*x6"
"S3",2,0.899023808407708,2.87927227063026,4.43170675541747,2003.169,"p3(x6)*x10","p3(x6)","x10*x11","x11","troot(x13)*x10"
"S4",2,0.842032471075632,3.35191138930263,6.11648704646554,1733.957,"x6*x9","x9*x13","x1","x8","exp_dbl(x13)*x1"
"S5",2,0.785863024523931,3.73883764049578,7.865638660133,1721.271,"(exp_dbl(x13)*x7)*x10","x10","x6*x6","x10*x6","x11"
"S6",2,0.861716162180816,3.13934521473914,5.32471568745401,1471.413,"exp_dbl(x13)*x9","x11","(x6*x6)*x6","x1","x12"
"S1",3,0.868187362142146,3.09873843668755,5.18486104423486,2027.804,"x9*x6","x11","x8","x9*x13","x7"
"S2",3,0.809372823374104,3.62062746866066,7.30423357312273,1762.6,"x1*sigmoid(x13)","x6","x10*p3(p3(x6))","x13","p3(x6)"
