"Experiment","Run","Number","Feature","Margs"
"P5",1,"Feature1","x9",1
"P5",1,"Feature2","troot(x4)*troot(x4)",1
"P5",1,"Feature3","x4*x2",0.999999999766723
"P5",1,"Feature4","x9*((x4*x3)*x3)",0.999999999086501
"P5",1,"Feature5","x4",0.997271903931446
"P5",1,"Feature6","x4*x9",0.997044422335944
"P5",1,"Feature7","(x4*x2)*(x2*(x4*x2))",0.940175081622966
"P5",1,"Feature8","(x4*x2)*x4",0.0628718204698858
"P5",1,"Feature9","(x4*x3)*x3",0.0599836700755094
"P1",1,"Feature1","troot(x4*x4)",0.99996345685221
"P1",1,"Feature2","troot(x4*x4)*x7",0.99996345685221
"P1",1,"Feature3","troot(x4*x4)*x9",0.99996345685221
"P1",1,"Feature4","x5",0.999962249448578
"P1",1,"Feature5","sin_deg(x5)",0.999787218865642
"P1",1,"Feature6","x8",0.769784480823253
"P1",1,"Feature7","x9",0.0747241326326126
"P1",1,"Feature8","x7*x8",0.00148535109165721
"P2",1,"Feature1","troot(x4*x4)",1
"P2",1,"Feature2","troot(x9*(x4*x4))",0.967633596369641
"P2",1,"Feature3","x5*x5",0.967633596368785
"P2",1,"Feature4","x7*troot(x9*(x4*x4))",0.967625371241459
"P2",1,"Feature5","x5",0.315910358937199
"P2",1,"Feature6","x6*troot(x4*x4)",0.0323664036303591
"P2",1,"Feature7","x2",0.00424249822946173
"P2",1,"Feature8","x6",0.00336868067678236
"P3",1,"Feature1","troot(x4*x4)",1
"P3",1,"Feature2","troot(x4*x4)*x6",0.863811896282125
"P3",1,"Feature3","x5",0.60979672043304
"P3",1,"Feature4","x9",0.603757785404489
"P3",1,"Feature5","x6",0.327496253806787
"P3",1,"Feature6","x7",0.240512964899362
"P3",1,"Feature7","(troot(x4*x4)*x9)*x6",0.136188105558061
"P3",1,"Feature8","x7*x7",0.00204250367780398
"P3",1,"Feature9","x5*x9",0.00167627995709527
"P3",1,"Feature10","troot(x7)",0.00117259690664494
"P4",1,"Feature1","troot(x4*x4)",0.999999999999914
"P4",1,"Feature2","x9*troot(x4*x4)",0.999996359826655
"P4",1,"Feature3","troot(x4*x4)*x7",0.999996359826655
"P4",1,"Feature4","x5",0.999995931365637
"P4",1,"Feature5","sigmoid(x5)",0.99868469647516
"P4",1,"Feature6","exp_dbl(sigmoid(x5))",0.00113321083825716
"P6",1,"Feature1","troot(x4*x4)",0.999999999999807
"P6",1,"Feature2","troot(x4*x4)*x9",0.999999978264163
"P6",1,"Feature3","x7*(troot(x4*x4)*x6)",0.999999961734751
"P6",1,"Feature4","x5",0.999996822183449
"P6",1,"Feature5","sin_deg(x5)",0.999771915216937
"P6",1,"Feature6","x8",0.530406440689152
"P6",1,"Feature7","x3",0.15784311861442
"P5",2,"Feature1","troot(x4)",1
"P5",2,"Feature2","x9*x4",0.999998297295698
"P5",2,"Feature3","x6",0.99997482990084
"P5",2,"Feature4","troot(troot(x4))",0.59438309130034
"P5",2,"Feature5","x4*x4",0.594383091291294
"P5",2,"Feature6","sigmoid(troot(troot(x4)))",0.594383091291294
"P5",2,"Feature7","sigmoid(troot(troot(x4)))*x6",0.59438306131896
"P5",2,"Feature8","x4*(x4*x2)",0.594382957769091
"P5",2,"Feature9","troot(x4)*(x4*x2)",0.594382957768727
"P5",2,"Feature10","x4*x2",0.594377496263103
"P5",2,"Feature11","x4",0.45243297385595
"P5",2,"Feature12","x4*x3",0.405624310785874
"P5",2,"Feature13","troot(exp_dbl(x6)*x4)",0.405616941459003
"P5",2,"Feature14","troot(x4)*x4",0.405616908708706
"P5",2,"Feature15","sigmoid(troot(x4))",0.40561690869966
"P5",2,"Feature16","troot((troot(x4)*x6)*x4)",0.40561690869966
"P5",2,"Feature17","sin_deg(x4*x3)",0.405616906395358
"P5",2,"Feature18","exp_dbl(x6)",0.405612006318833
"P5",2,"Feature19","x10",0.241415836452975
"P1",2,"Feature1","troot(x4*x4)",1
"P1",2,"Feature2","x6*troot(x4*x4)",0.999999999999965
"P1",2,"Feature3","x5",0.390928220580244
"P1",2,"Feature4","x6",0.118650475426324
"P1",2,"Feature5","x4",0.0821118356384333
"P1",2,"Feature6","x5*x5",0.0024143874683225
"P2",2,"Feature1","troot(x4*(x9*x4))",0.919774259882157
"P2",2,"Feature2","(x6*(troot(x4*(x9*x4))*x9))*x7",0.919774259882157
"P2",2,"Feature3","x1*x4",0.919773449629676
"P2",2,"Feature4","x8",0.689209523644324
"P2",2,"Feature5","troot(x4*x4)",0.0802201065556891
"P2",2,"Feature6","x6*troot(x4*x4)",0.0790053650346524
"P2",2,"Feature7","x9",0.0424832377948862
"P2",2,"Feature8","x6",0.0132897748244164
"P2",2,"Feature9","x1",0.0121252272507073
"P2",2,"Feature10","x2",0.00951399200657329
"P2",2,"Feature11","sigmoid(x6)",0.00273148601885592
"P2",2,"Feature12","troot((x4*x6)*x4)",0.00122600864552428
"P3",2,"Feature1","troot(x4)*troot(x4)",0.878373191242911
"P3",2,"Feature2","x7",0.87837319123398
"P3",2,"Feature3","(x7*(troot(x4)*troot(x4)))*x6",0.8783729946078
"P3",2,"Feature4","sin_deg(x7)",0.878372994607288
"P3",2,"Feature5","x7*x7",0.878252133658621
"P3",2,"Feature6","(troot(x4)*troot(x4))*(x7*x7)",0.877112201389193
"P3",2,"Feature7","x6",0.631432715486442
"P3",2,"Feature8","troot(1+((x4*(x6*x4))+(((x6*x4)*troot(troot(x4)))+x7)))",0.121626808757089
"P3",2,"Feature9","x5",0.121623262646356
"P3",2,"Feature10","x2*x4",0.121402882396084
"P3",2,"Feature11","exp_dbl(x6*x4)",0.118898935641536
"P3",2,"Feature12","x4",0.0104612831092661
"P3",2,"Feature13","((troot(x4)*troot(x4))*(x7*x7))*x7",0.00126079321913985
