"Experiment","Run","Number","Feature","Margs"
"P1",1,"Feature1","troot(x4*(x6*x4))",0.99466129552387
"P1",1,"Feature2","x4",0.100963458405481
"P1",1,"Feature3","troot(x4*x4)",0.00533467638313997
"P1",1,"Feature4","x4*x3",0.00345749644886805
"P1",1,"Feature5","x6*x4",0.00128670629077042
"P2",1,"Feature1","troot((x4*x7)*x4)",0.497793811255481
"P2",1,"Feature2","troot((x4*x4)*x6)",0.414230762886003
"P2",1,"Feature3","x2",0.140151917311063
"P2",1,"Feature4","x4",0.115337201993489
"P2",1,"Feature5","troot(x4*x4)",0.0879754258583589
"P2",1,"Feature6","x4*x2",0.0868900152066356
"P2",1,"Feature7","x6",0.0753176240441624
"P2",1,"Feature8","x5",0.0323618285196914
"P2",1,"Feature9","x1",0.00316113878187296
"P2",1,"Feature10","x8",0.00303425984361911
"P2",1,"Feature11","x8*x4",0.00111288528708688
"P3",1,"Feature1","troot(x6*(x4*x4))",0.997956977000205
"P3",1,"Feature2","x4",0.10140112448781
"P3",1,"Feature3","x3",0.0919893543317124
"P3",1,"Feature4","troot(x10)",0.00496486200629867
"P3",1,"Feature5","troot(x4*x4)",0.00204302299888442
"P3",1,"Feature6","x4*x6",0.00203841347927028
"P4",1,"Feature1","troot(x4*(x4*x7))",0.99883785277625
"P4",1,"Feature2","x4",0.151257149447233
"P4",1,"Feature3","x8",0.0622881381102889
"P4",1,"Feature4","troot(x4*(x9*x4))",0.00114696470061013
"P5",1,"Feature1","troot((x7*x4)*x4)",0.918756655113883
"P5",1,"Feature2","x2",0.200150904419089
"P5",1,"Feature3","x4",0.107494823330369
"P5",1,"Feature4","x4*x2",0.0816899487923591
"P5",1,"Feature5","troot(x4*x4)",0.0811862322977233
"P5",1,"Feature6","x5",0.0774260487722181
"P5",1,"Feature7","x9",0.0458606318714822
"P6",1,"Feature1","troot(x7*(x4*x4))",0.914033365170259
"P6",1,"Feature2","x2",0.182798516244853
"P6",1,"Feature3","x4",0.105264713276947
"P6",1,"Feature4","troot(x4*x4)",0.0807697833700635
"P6",1,"Feature5","x2*x4",0.0807697833697931
"P6",1,"Feature6","x7",0.0579081782315475
"P6",1,"Feature7","x5",0.0534034965714184
"P6",1,"Feature8","x4*troot(x4)",0.0051995093272296
"P6",1,"Feature9","x10*x4",0.00518634207990784
"P1",2,"Feature1","troot(x4*x4)",0.999998353322294
"P1",2,"Feature2","x2*x4",0.957066784174046
"P1",2,"Feature3","x4",0.0878277926660692
"P1",2,"Feature4","x4*x3",0.0427733620096821
"P2",2,"Feature1","troot(x4*x4)",0.968894957776548
"P2",2,"Feature2","x2*x4",0.95989746186424
"P2",2,"Feature3","x10",0.084551278324079
"P2",2,"Feature4","x4",0.0721289989600183
"P2",2,"Feature5","x4*x10",0.031100336763713
"P2",2,"Feature6","x4*troot(x4)",0.0308969239146239
"P2",2,"Feature7","x4*x6",0.00515642823621228
"P2",2,"Feature8","x4*x8",0.00407826620319245
"P2",2,"Feature9","x3",0.00262341363964768
"P2",2,"Feature10","x6",0.00196057389249506
"P3",2,"Feature1","troot((x4*x7)*x4)",0.918736418387536
"P3",2,"Feature2","x10",0.184327398517412
"P3",2,"Feature3","x4",0.137805059980073
"P3",2,"Feature4","troot(x4*x4)",0.0811844419911985
"P3",2,"Feature5","x4*x2",0.0811810935962781
"P3",2,"Feature6","x5",0.0548798774186451
"P3",2,"Feature7","x8",0.042451811276044
"P3",2,"Feature8","x3",0.00847492686411703
"P3",2,"Feature9","x9",0.0067794863577801
"P4",2,"Feature1","troot((x4*x4)*x6)",0.713991504281388
"P4",2,"Feature2","troot((x7*x4)*x4)",0.286008495718612
"P4",2,"Feature3","x4",0.0861498293958745
"P4",2,"Feature4","x2",0.0842577165830161
"P4",2,"Feature5","x6",0.0626492949683509
"P4",2,"Feature6","x7",0.0512590961766073
"P4",2,"Feature7","x5",0.0183577152311191
"P4",2,"Feature8","x8",0.0179771477515304
"P4",2,"Feature9","x3",0.00244486593062944
"P5",2,"Feature1","troot(x4*x4)",0.999993255332934
"P5",2,"Feature2","x4",0.858470747056321
"P5",2,"Feature3","x9*x4",0.500822420700851
"P5",2,"Feature4","x8*x4",0.499166210694031
"P5",2,"Feature5","x6",0.0990063523354455
"P5",2,"Feature6","x10",0.0964531293887631
"P5",2,"Feature7","x7*x4",0.00296034681507316
"P5",2,"Feature8","x4*x4",0.00277548273471836
"P6",2,"Feature1","x4",0.841069427512784
"P6",2,"Feature2","x10*x4",0.812453718019717
"P6",2,"Feature3","x4*troot(x4)",0.808554999850297
"P6",2,"Feature4","troot(x4*x4)",0.188089391938401
"P6",2,"Feature5","x4*x3",0.187961833159809
"P6",2,"Feature6","x1",0.0193662583370595
"P6",2,"Feature7","x4*x4",0.00396426826578976
"P6",2,"Feature8","troot(x4)",0.00371035576364529
"P1",3,"Feature1","troot(x4*x4)",0.937145591565492
"P1",3,"Feature2","x4*x2",0.898333678648672
"P1",3,"Feature3","x10",0.162231830512318
"P1",3,"Feature4","x4",0.157784798526002
"P1",3,"Feature5","x4*x10",0.0592641407774879
"P1",3,"Feature6","troot(x4)*x4",0.058643686492834
"P1",3,"Feature7","x8*x4",0.0250342181983879
"P1",3,"Feature8","x6*x4",0.0153456564957278
"P1",3,"Feature9","x9",0.00500372802709
"P1",3,"Feature10","x8",0.00388019484364301
"P1",3,"Feature11","troot((x4*x9)*x4)",0.00359313151699163
"P1",3,"Feature12","troot(x4)",0.00288390403971727
"P1",3,"Feature13","x3",0.00168021393514112
"P2",3,"Feature1","troot((x4*x6)*x4)",0.758395071085073
"P2",3,"Feature2","x2",0.286858111350591
"P2",3,"Feature3","troot(x4*x4)",0.241604928914927
"P2",3,"Feature4","x2*x4",0.239468853441097
"P2",3,"Feature5","x6",0.117291215752894
"P2",3,"Feature6","x10",0.014151268130915
"P2",3,"Feature7","x4",0.00814552550820864
"P2",3,"Feature8","x1",0.00578743575261913
"P2",3,"Feature9","x8",0.00473218379784041
"P2",3,"Feature10","x7*x4",0.00138682896598798
"P3",3,"Feature1","x4",0.999983648139093
"P3",3,"Feature2","troot(x4)*x4",0.869085848055829
"P3",3,"Feature3","x10*x4",0.868475256461669
"P3",3,"Feature4","troot(x4*x4)",0.130918559663216
"P3",3,"Feature5","x6*x4",0.130142708470294
"P3",3,"Feature6","x2",0.0917965233772281
"P3",3,"Feature7","x10",0.0627278971732517
"P3",3,"Feature8","x9",0.0314641193279437
"P3",3,"Feature9","x5",0.0272363192744302
"P3",3,"Feature10","troot(x4)",0.00996821149056322
"P3",3,"Feature11","x1",0.00939592157284599
"P4",3,"Feature1","troot(x4*x4)",0.938031660197801
"P4",3,"Feature2","x4*x2",0.877226007323044
"P4",3,"Feature3","x6",0.177335808675194
"P4",3,"Feature4","x7",0.136828664913472
"P4",3,"Feature5","x4",0.0927598417878936
"P4",3,"Feature6","troot(x4*x4)*troot(x7)",0.0616274954036586
"P4",3,"Feature7","x4*x3",0.0441349748692429
"P4",3,"Feature8","x7*x4",0.00986798813447334
