"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P5",1,FALSE,FALSE,FALSE,FALSE,7,0.508116033048222,0.508116033048222,0.00802029823630734,578.177912958627,0.999967658129311,7,NA,"x9","troot(x4)*troot(x4)","x4*x2",1,1,0.999999999766723
"P1",1,FALSE,FALSE,FALSE,FALSE,6,0.542395629426602,0.542395629426602,0.00153018129746381,697.901528862955,0.99999980243552,6,NA,"troot(x4*x4)","troot(x4*x4)*x7","troot(x4*x4)*x9",0.99996345685221,0.99996345685221,0.99996345685221
"P2",1,FALSE,TRUE,FALSE,FALSE,4,0.635461045897646,0.544326395507887,0.00177259242563623,687.145819452168,0.999999780111144,5,NA,"troot(x4*x4)","troot(x9*(x4*x4))","x5*x5",1,0.967633596369641,0.967633596368785
"P3",1,FALSE,FALSE,FALSE,FALSE,7,0.429736519222462,0.429736519222462,0.000990453216307377,683.955183587773,0.9999999155019,7,NA,"troot(x4*x4)","troot(x4*x4)*x6","x5",1,0.863811896282125,0.60979672043304
"P4",1,FALSE,FALSE,FALSE,FALSE,5,0.658160380878026,0.658160380878026,0.00165843635498264,696.334701605583,0.999999788905965,5,NA,"troot(x4*x4)","x9*troot(x4*x4)","troot(x4*x4)*x7",0.999999999999914,0.999996359826655,0.999996359826655
"P6",1,FALSE,FALSE,FALSE,FALSE,7,0.41388647000692,0.41388647000692,0.00145184561991222,692.161877265374,0.999999829991702,7,NA,"troot(x4*x4)","troot(x4*x4)*x9","x7*(troot(x4*x4)*x6)",0.999999999999807,0.999999978264163,0.999999961734751
"P5",2,FALSE,FALSE,FALSE,FALSE,19,0.540367989838717,0.540367989838717,0.00891003331279328,587.467258292908,0.999922617189353,19,NA,"troot(x4)","x9*x4","x6",1,0.999998297295698,0.99997482990084
"P1",2,FALSE,FALSE,FALSE,FALSE,4,0.516812614245192,0.516812614245192,0.000973107303304583,683.748086912524,0.999999913530829,4,NA,"troot(x4*x4)","x6*troot(x4*x4)","x5",1,0.999999999999965,0.390928220580244
"P2",2,FALSE,TRUE,FALSE,FALSE,3,0.476433377067405,0.301911286937646,0.00130519857912673,686.265971629195,0.99999986512111,4,NA,"troot(x4*(x9*x4))","(x6*(troot(x4*(x9*x4))*x9))*x7","x1*x4",0.919774259882157,0.919774259882157,0.919773449629676
"P3",2,FALSE,FALSE,FALSE,FALSE,11,0.363692966003939,0.363692966003939,0.011190246365308,630.879118478442,0.999811883561451,11,NA,"troot(x4)*troot(x4)","x7","(x7*(troot(x4)*troot(x4)))*x6",0.878373191242911,0.87837319123398,0.8783729946078
"P4",2,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917216289414228,683.955183587772,0.999999914680514,4,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,0.99999998308439,0.571517972042631
"P6",2,FALSE,FALSE,FALSE,FALSE,6,0.543068673440582,0.543068673440582,0.00166425242675387,684.270053827115,0.999999699892815,6,NA,"troot(x4*x4)","x9*troot(x4*x4)","(x9*(troot(x4*x4)*x7))*x7",1,1,1
"P5",3,TRUE,FALSE,FALSE,FALSE,5,0.854742025195626,0.825690430234752,0.000866275292627865,683.748086912524,0.999999936427361,6,NA,"troot(x4*x4)","troot(x4*x4)*x6","x5",0.743059519354307,0.730380573659017,0.284745201715383
"P1",3,FALSE,FALSE,FALSE,TRUE,5,0.501521834910808,0.401826417608904,0.00168044633442864,677.823332019781,0.999999798639016,6,NA,"x9*troot(x4*x4)","troot(x4*x4)*troot(x7)","troot(x4*x4)",1,0.99999999999998,0.999999999913967
"P2",3,FALSE,FALSE,FALSE,FALSE,5,0.658160380878026,0.658160380878026,0.00165842789481069,696.334701605583,0.999999788901666,5,NA,"troot(x4*x4)","troot(x4*x4)*x9","x7*troot(x4*x4)",1,0.999999999880345,0.999999999877735
"P3",3,FALSE,FALSE,FALSE,FALSE,2,0.999999245436819,0.999999245436819,0.000875962547237451,680.316800777649,0.999999911675585,2,NA,"troot(x4*x4)","troot(((x6*x6)*x4)*x4)",NA,1,1,NA
"P4",3,FALSE,FALSE,FALSE,FALSE,6,0.334262037282524,0.334262037282524,0.000912485898402971,683.955183587774,0.999999914727879,6,NA,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,0.999999967182455,0.693702155297794
"P6",3,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,0.000829662202177553,687.881431327978,0.999999889916777,3,NA,"troot(x6*(x4*x4))","x4*x7","x4",0.999998711832442,0.99999871183244,0.999998711831711
"P5",4,FALSE,FALSE,FALSE,FALSE,10,0.338462816107131,0.338462816107131,0.002949419467157,583.448826690527,0.999998781560275,10,NA,"x4","x7*x4","troot(x8*(x8*x4))",1,1,1
"P1",4,FALSE,FALSE,FALSE,FALSE,4,0.473441637292981,0.473441637292981,0.00306653665353166,646.08102481462,0.999996551221453,4,NA,"troot(((troot(1+x7)*x4)+x4)*x4)","(x9*x9)*troot(x4*x4)","x7*x7",0.999999999990341,0.999999943680727,0.999888843789324
"P2",4,FALSE,FALSE,FALSE,FALSE,5,0.658160380878026,0.658160380878026,0.00165574376865697,696.334701605583,0.999999788588508,5,NA,"troot(x4*x4)","x5","sigmoid(x5)",1,0.999630322733804,0.999439994970494
"P3",4,FALSE,FALSE,FALSE,FALSE,7,0.46167368193757,0.46167368193757,0.00167282836614735,696.334701605584,0.999999783170552,7,NA,"x5","sigmoid(x5)","troot(x4*x4)*x9",0.999999614171134,0.999880685841701,0.99803230966533
"P4",4,TRUE,FALSE,FALSE,FALSE,5,0.509757041942922,0.411708450331506,0.000999920165035732,687.927307187444,0.999999884474565,6,NA,"troot(x6*(x4*x4))","x4","x7*x4",0.981514744100198,0.981325824572805,0.978300333309431
"P6",4,FALSE,FALSE,FALSE,FALSE,7,0.486070042357344,0.486070042357344,0.00153187050377515,697.901528863001,0.999999802272366,7,NA,"x9*troot(x4*x4)","x7*troot(x4*x4)","troot(x4*x4)",0.999963456852212,0.999963456852212,0.999963456852212
"P5",5,FALSE,FALSE,FALSE,FALSE,5,0.379805795251936,0.379805795251936,0.000920688578679077,683.81122596715,0.999999911150276,5,NA,"troot(x4*x4)","x6*troot(x4*x4)","x9",1,1,0.567829034254423
"P1",5,FALSE,TRUE,FALSE,FALSE,5,0.359349904509468,0.231219955920026,0.00302638153318029,685.272013634844,0.999994101045277,6,NA,"x6*troot(x4*(x9*x4))","troot(x4*(x9*x4))","x7",1,1,0.999988900165664
"P2",5,FALSE,FALSE,FALSE,FALSE,6,0.543291565763375,0.543291565763375,0.00153385592817648,682.130232566893,0.999999802057201,6,NA,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","(troot(x4)*troot(x4))*x7",1,0.999811985650256,0.999811985650099
"P3",5,FALSE,FALSE,FALSE,FALSE,10,0.587720409364805,0.587720409364805,0.00724408892024457,589.427472098318,0.999953270206435,10,NA,"x4","troot(x4)","x10*x4",0.999999999997344,0.999999980881496,0.999999980107706
"P4",5,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000829911290202807,687.684548542454,0.999999890468514,3,NA,"x4","troot(x4*(x6*x4))","x6*x4",0.997919531814586,0.997705614068844,0.991868713513497
"P6",5,FALSE,TRUE,FALSE,FALSE,5,0.304386193115407,0.165263502247152,0.00209031327473111,686.100482647319,0.9999994438728,6,NA,"troot(x9*(x4*x4))","x6*troot(x9*(x4*x4))","x7",0.999995902365029,0.999995902365029,0.999976979212945
"P5",6,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917816620965166,673.695386157928,0.999999914598947,4,NA,"troot(x4*x4)","x6*(troot(x4)*troot(x4))","x9",1,1,0.581100283960428
"P1",6,FALSE,FALSE,FALSE,FALSE,3,0.547638320953985,0.547638320953985,0.000875133096762019,675.186902062727,0.99999991164692,3,NA,"troot((x6*x4)*(x6*x4))","troot(x4)*troot(x4)","x3",0.995955066371705,0.995953122936952,0.122052778412361
"P2",6,TRUE,TRUE,FALSE,FALSE,3,0.997115107397787,0.995191963177417,0.000825577780436667,687.684548542455,0.999999912223455,5,NA,"troot((x4*x4)*x6)","x4*x6","x4",0.870669247221852,0.870111497588569,0.870111473914445
"P3",6,FALSE,FALSE,FALSE,FALSE,9,0.176261514410029,0.176261514410029,0.00267959006338402,587.097575550429,0.99999895274384,9,NA,"x4","x4*(x4*(sin_deg(x4)*(x8*x4)))","sin_deg(x4)*(x8*x4)",1,0.999999999999999,0.999999999999999
"P4",6,FALSE,TRUE,FALSE,FALSE,5,0.495566293843468,0.394679623120825,0.00173706178843372,691.45202386326,0.999999769046688,6,NA,"troot(x9*(x4*x4))","x5","troot(x4*x4)",0.999999983181692,0.99999237777094,0.999797584815784
"P6",6,TRUE,FALSE,FALSE,FALSE,10,0.544129999360166,0.498542999296183,0.000920382174528497,687.881431327978,0.999999917576767,11,NA,"x4","troot((x4*x4)*x6)","x7*x4",0.773781798853349,0.773781798853349,0.77378175332883
"P5",7,FALSE,FALSE,FALSE,FALSE,8,0.691482551959651,0.691482551959651,0.0045856604784181,615.821584854005,0.999981480446777,8,NA,"troot(x4*x4)","x4","(x4*x3)*troot(x4)",0.999999999841287,0.999999999302613,0.9999999991439
"P1",7,TRUE,FALSE,FALSE,FALSE,5,0.509757108653177,0.411708530383812,0.00100330516036936,687.787664501487,0.999999883090259,6,NA,"troot(x4*(x4*x6))","x4","x4*x6",1,0.986094175139602,0.98391194893758
"P2",7,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.000808631019389749,684.777371260963,0.999999910832316,2,NA,"troot(x6*(x4*x4))","troot(x4*x4)",NA,1,0.999997879304036,NA
"P3",7,TRUE,FALSE,FALSE,FALSE,3,0.715514235248809,0.620685651927074,0.000938392309424793,670.08668022129,0.999999878668287,4,NA,"troot(1+(x4*(x6*x4)))","x6*x4","x4",1,1,0.999999999592057
"P4",7,FALSE,FALSE,FALSE,FALSE,13,0.692392042077539,0.692392042077539,0.0193783759419302,623.607226635895,0.999446867763343,13,NA,"x4","x6","troot(x4)",1,0.999999999999526,0.997458028194762
"P6",7,FALSE,FALSE,FALSE,FALSE,10,0.540805251553382,0.540805251553382,0.00153749163107744,682.511832718159,0.999999795073132,10,NA,"x9*troot(x4*x4)","x5","troot(x4)*troot(x4)",1,0.941980236443439,0.80016515793409
"P5",8,FALSE,FALSE,FALSE,FALSE,12,0.345149155115271,0.345149155115271,0.0510786252006939,578.951739611502,0.996056447067032,12,NA,"troot(x4*x4)","x4","x4*x4",1,0.999999999999923,0.999999999998378
"P1",8,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000816483318609339,687.684548542454,0.999999898750369,3,NA,"troot(x4*(x6*x4))","x4","x6*x4",1,0.952879278239851,0.948200018669247
"P2",8,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.00080881736768807,684.777371260963,0.99999991000975,2,NA,"troot(x4*(x6*x4))","troot(x4*x4)",NA,0.997299982071933,0.99722731451639,NA
