"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"P1",1,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0321972056316774,-94.5244319535552,0.99996270827368,2,NA,"troot(x4*(x6*x4))","x4",NA,0.99466129552387,0.100963458405481,NA
"P2",1,TRUE,FALSE,FALSE,TRUE,2,0.724821332038503,0.449643203366842,0.0370151161475385,-94.3406692127019,0.999919310630724,4,NA,"troot((x4*x7)*x4)","troot((x4*x4)*x6)","x2",0.497793811255481,0.414230762886003,0.140151917311063
"P3",1,TRUE,FALSE,FALSE,FALSE,1,0.996429648845025,0.992859297690051,0.0318326196149911,-94.5244319535552,0.999963465697123,2,NA,"troot(x6*(x4*x4))","x4",NA,0.997956977000205,0.10140112448781,NA
"P4",1,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0446839161944843,-94.3406692127019,0.999802694564618,2,NA,"troot(x4*(x4*x7))","x4",NA,0.99883785277625,0.151257149447233,NA
"P5",1,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0456025490071033,-94.3406692127019,0.999789206546462,3,NA,"troot((x7*x4)*x4)","x2","x4",0.918756655113883,0.200150904419089,0.107494823330369
"P6",1,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0436568226602672,-94.3406692127019,0.999819729513468,3,NA,"troot(x7*(x4*x4))","x2","x4",0.914033365170259,0.182798516244853,0.105264713276947
"P1",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0375395024292906,-96.7669448270558,0.999909040435329,2,NA,"troot(x4*x4)","x2*x4",NA,0.999998353322294,0.957066784174046,NA
"P2",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0367301106065757,-96.7669448270558,0.999913469220031,2,NA,"troot(x4*x4)","x2*x4",NA,0.968894957776548,0.95989746186424,NA
"P3",2,FALSE,FALSE,FALSE,TRUE,2,0.665759877520625,0.498640355570775,0.0440549200954346,-94.3406692127019,0.999794066486216,3,NA,"troot((x4*x7)*x4)","x10","x4",0.918736418387536,0.184327398517412,0.137805059980073
"P4",2,TRUE,FALSE,FALSE,TRUE,0,0.999999460710163,NA,0.0324704458327925,-94.3406692127019,0.999960243534782,2,NA,"troot((x4*x4)*x6)","troot((x7*x4)*x4)",NA,0.713991504281388,0.286008495718612,NA
"P5",2,FALSE,FALSE,FALSE,FALSE,4,0.73688753300508,0.73688753300508,0.0389218229248624,-100.720409257459,0.999881865205725,4,NA,"troot(x4*x4)","x4","x9*x4",0.999993255332934,0.858470747056321,0.500822420700851
"P6",2,FALSE,FALSE,FALSE,FALSE,5,0.865852860767065,0.865852860767065,0.0820542461139728,-99.5125191073178,0.996581055829802,5,NA,"x4","x10*x4","x4*troot(x4)",0.841069427512784,0.812453718019717,0.808554999850297
"P1",3,FALSE,FALSE,FALSE,FALSE,4,0.551592656175278,0.551592656175278,0.0346429647600172,-96.7669448270558,0.999937508157704,4,NA,"troot(x4*x4)","x4*x2","x10",0.937145591565492,0.898333678648672,0.162231830512318
"P2",3,TRUE,FALSE,FALSE,FALSE,4,0.408006854094238,0.260008567617798,0.032285144017055,-94.5244319535552,0.99994962006383,5,NA,"troot((x4*x6)*x4)","x2","troot(x4*x4)",0.758395071085073,0.286858111350591,0.241604928914927
"P3",3,FALSE,FALSE,FALSE,FALSE,5,0.989865027149196,0.989865027149196,0.0825335572201062,-99.5125191073178,0.996918903381427,5,NA,"x4","troot(x4)*x4","x10*x4",0.999983648139093,0.869085848055829,0.868475256461669
"P4",3,FALSE,FALSE,FALSE,FALSE,4,0.267238121297937,0.267238121297937,0.0363251189355877,-96.7669448270558,0.999909026763388,4,NA,"troot(x4*x4)","x4*x2","x6",0.938031660197801,0.877226007323044,0.177335808675194
"P5",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0310704327339393,-94.5244319535552,0.999966991038536,1,NA,"troot(x4*(x6*x4))",NA,NA,0.90177024696515,NA,NA
"P6",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0328979677442443,-94.5244319535552,0.999958963479426,1,NA,"troot(x4*(x6*x4))",NA,NA,0.986586138755966,NA,NA
"P1",4,FALSE,FALSE,FALSE,FALSE,5,0.577080888052594,0.577080888052594,0.086282659265166,-99.5125191073178,0.996709994780626,5,NA,"x4","x4*x10","x4*troot(x4)",0.932713862658168,0.909125308018345,0.905901618773179
"P2",4,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0430773526457968,-94.3406692127019,0.999821757470673,2,NA,"troot((x7*x4)*x4)","x4",NA,0.988779043925718,0.171011761973435,NA
"P3",4,TRUE,FALSE,FALSE,FALSE,2,0.736363304519855,0.604544956779782,0.030542255686423,-94.5244319535552,0.999968220072144,3,NA,"troot(x4*(x6*x4))","troot(x4*x4)","x4*x2",0.820209070888778,0.174198173504474,0.17419680878242
"P4",4,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0433107791016027,-94.3406692127019,0.999811304735552,2,NA,"troot((x4*x7)*x4)","x4",NA,0.99435414909157,0.155643600769461,NA
"P5",4,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0372354886548054,-96.7669448270558,0.999911603936344,2,NA,"troot(x4*x4)","x4*x2",NA,0.999999933734592,0.953294585049973,NA
"P6",4,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0438707135302958,-94.3406692127019,0.999823334041038,1,NA,"troot(x4*(x4*x7))",NA,NA,0.986626971762965,NA,NA
"P1",5,FALSE,TRUE,FALSE,FALSE,5,0.585015565865383,0.502018749547122,0.0577106148118608,-99.877214903911,0.998994633892198,6,NA,"troot(x4*x4)","x3*x4","troot(x4*(x4*x9))",0.76910161028512,0.769039583627444,0.222827472023029
"P2",5,TRUE,FALSE,FALSE,TRUE,1,0.997619406370126,0.992859297690051,0.0353073136751571,-94.3406692127019,0.999933856894754,3,NA,"troot((x4*x7)*x4)","troot((x4*x6)*x4)","x4",0.541912331332556,0.454248077132786,0.129084650635692
