"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","troot((x6*x4)*x4)",1
"S1",1,"Feature2","x4",0.999966234222017
"S1",1,"Feature3","x4*x6",0.992888010738529
"S1",1,"Feature4","x6",0.171813503750893
"S1",1,"Feature5","troot(x7)*x4",0.0071458140516581
"S2",1,"Feature1","troot(x4*x4)*x7",1
"S2",1,"Feature2","troot(x4*x4)",1
"S2",1,"Feature3","troot(x4*x4)*x9",1
"S2",1,"Feature4","x2*(x1*x4)",0.998228897871804
"S2",1,"Feature5","x8",0.930032636730338
"S2",1,"Feature6","x3",0.0865932746078621
"S2",1,"Feature7","x2",0.0681110337302905
"S2",1,"Feature8","sigmoid(x8)",0.00451099660668266
"S2",1,"Feature9","x1*x4",0.00244669082863909
"S3",1,"Feature1","troot(x7*(x10*x4))",1
"S3",1,"Feature2","troot(x4)*(x4*x3)",1
"S3",1,"Feature3","x9*(x4*x3)",1
"S3",1,"Feature4","x7*x4",1
"S3",1,"Feature5","troot(1+(x5+(x4+x10)))*troot(1+x4)",1
"S3",1,"Feature6","x4",1
"S3",1,"Feature7","x4*x2",1
"S3",1,"Feature8","troot(x10)",0.9999999999999
"S3",1,"Feature9","x9",0.999999986730405
"S3",1,"Feature10","x10",0.999992248961417
"S3",1,"Feature11","x3",0.948734110653757
"S3",1,"Feature12","x2",0.664549478985434
"S3",1,"Feature13","x8",0.317191443761845
"S4",1,"Feature1","(troot(x4)*troot(x4))*x6",1
"S4",1,"Feature2","troot(x4)*troot(x4)",1
"S4",1,"Feature3","x9",0.585033058614598
"S4",1,"Feature4","x5",0.486569311579118
"S4",1,"Feature5","x4",0.0610516192355746
"S5",1,"Feature1","troot(x4)*troot(x4)",1
"S5",1,"Feature2","(troot(x4)*troot(x4))*x6",1
"S5",1,"Feature3","x9",0.724867707223574
"S5",1,"Feature4","x5",0.559584284507188
"S5",1,"Feature5","x6",0.341150288767444
"S5",1,"Feature6","x7",0.0994758758251425
"S5",1,"Feature7","sigmoid(x5)",0.00538873384095833
"S6",1,"Feature1","troot(x4*(x6*x4))",1
"S6",1,"Feature2","x4",0.999975773147929
"S6",1,"Feature3","x6*x4",0.994461668216165
"S6",1,"Feature4","x10",0.124451585636298
"S6",1,"Feature5","x1",0.121336202583542
"S6",1,"Feature6","x8",0.0630209627534403
"S6",1,"Feature7","sigmoid(x8)*x4",0.00556566478975841
