"Experiment","Run","Number","Feature","Margs"
"S1",1,"Feature1","troot(x4*(x6*x4))",0.999406917124304
"S1",1,"Feature2","x10",0.303891969314757
"S2",1,"Feature1","troot((x4*x7)*x4)",1
"S2",1,"Feature2","x7",0.0984685959009242
"S3",1,"Feature1","troot(x4*x4)",1
"S3",1,"Feature2","x4*x2",0.96240581509656
"S3",1,"Feature3","x6",0.233890863969156
"S3",1,"Feature4","x4",0.109445537061438
"S3",1,"Feature5","x1",0.0669438028427094
"S3",1,"Feature6","x8",0.0616489964581647
"S3",1,"Feature7","x4*x8",0.023144017656762
"S3",1,"Feature8","x4*x6",0.0154881341523032
"S4",1,"Feature1","x2*x4",0.995054343154815
"S4",1,"Feature2","troot(x4*x4)",0.987139178791208
"S4",1,"Feature3","x2",0.180815386951998
"S4",1,"Feature4","x5",0.0717490541283101
"S4",1,"Feature5","troot(x9*(x4*x4))",0.0128608469664544
"S4",1,"Feature6","(x2*x4)*x7",0.00494656493707147
"S5",1,"Feature1","troot(x9)*troot(x4*x4)",1
"S5",1,"Feature2","x2*x4",0.852084084755382
"S5",1,"Feature3","x4",0.160949409468173
"S5",1,"Feature4","x5",0.0702027841289798
"S5",1,"Feature5","troot(x4)",0.0569389591416714
"S5",1,"Feature6","x4*x10",0.00253653163285862
"S5",1,"Feature7","exp_dbl(x4)",0.0016812522000256
"S6",1,"Feature1","troot(x6*(x4*x4))",0.999999993603595
"S6",1,"Feature2","x4",0.0854181601713152
"S6",1,"Feature3","x3",0.0841218630958949
"S6",1,"Feature4","x8",0.0691043851085741
"S1",2,"Feature1","x2*x4",0.999966682604334
"S1",2,"Feature2","troot((x4*x4))",0.999962338499683
"S1",2,"Feature3","x8",0.0716672162822735
"S2",2,"Feature1","troot(x4*(x4*x7))",1
"S2",2,"Feature2","x2",0.268767945433427
"S2",2,"Feature3","x6",0.15925837481738
"S2",2,"Feature4","x5",0.0639635438960425
"S2",2,"Feature5","troot(x4)",0.00395089791208556
"S2",2,"Feature6","troot(x6)",0.00102116645461976
"S3",2,"Feature1","x8*x4",0.999997644494342
"S3",2,"Feature2","x10*x4",0.987469084208803
"S3",2,"Feature3","x4",0.987459222685325
"S3",2,"Feature4","x4*x4",0.98745817207628
"S3",2,"Feature5","x10",0.17839389405313
"S3",2,"Feature6","x8",0.0707339795801144
"S3",2,"Feature7","exp_dbl(troot(troot(x4)))*x4",0.0125438594676535
"S3",2,"Feature8","x6",0.00157483521041991
"S4",2,"Feature1","troot(x4*x4)",1
"S4",2,"Feature2","x4",0.999988804372954
"S4",2,"Feature3","x6*x4",0.999987034960279
"S4",2,"Feature4","x1",0.0839821046965851
"S4",2,"Feature5","x5",0.00739805790070244
"S4",2,"Feature6","troot(x4)",0.0055745469619327
"S5",2,"Feature1","x2*x4",0.99999999999556
"S5",2,"Feature2","troot(x4*x4)",0.99999999999556
"S5",2,"Feature3","x6",0.211041541246937
"S5",2,"Feature4","x7",0.147066407450168
"S5",2,"Feature5","x4",0.087911812547712
"S6",2,"Feature1","x10*x4",1
"S6",2,"Feature2","troot(x4)*x4",1
"S6",2,"Feature3","x4",1
"S6",2,"Feature4","troot(x4)",0.00117555334157066
"S1",3,"Feature1","x4",0.999999999554459
"S1",3,"Feature2","x10*x4",0.997635994117752
"S1",3,"Feature3","troot(x4)*x4",0.980179365059266
"S1",3,"Feature4","x2",0.199634916964225
"S1",3,"Feature5","x10",0.124658856763554
"S1",3,"Feature6","x4*x4",0.0228083206517835
"S1",3,"Feature7","troot(x4)",0.0166182050674647
"S1",3,"Feature8","x8*x4",0.00888282103478428
"S1",3,"Feature9","sin_deg(x4)",0.00310296276571497
"S2",3,"Feature1","troot(x7*(x4*x4))",1
"S2",3,"Feature2","x2",0.212882622676236
"S2",3,"Feature3","x10",0.182334214745415
"S2",3,"Feature4","x8",0.0132010827481748
"S3",3,"Feature1","troot(x6*(x4*x4))",1
"S3",3,"Feature2","x4",0.0996013811797709
"S3",3,"Feature3","x3",0.0921771925409906
"S3",3,"Feature4","troot(x10)",0.00497502609904342
"S4",3,"Feature1","troot(x4*(x4*x7))",0.999999669891556
"S4",3,"Feature2","x4",0.151235064175164
"S4",3,"Feature3","x8",0.0623605897346808
"S5",3,"Feature1","troot(x4*x4)",1
"S5",3,"Feature2","x4*x2",0.999999992643591
"S5",3,"Feature3","x5",0.0892176494794935
"S5",3,"Feature4","x4",0.0847156723060321
"S6",3,"Feature1","x4",1
"S6",3,"Feature2","troot(x4)*x4",1
"S6",3,"Feature3","x10*x4",0.999999999999998
"S6",3,"Feature4","x7",0.21793435311538
"S6",3,"Feature5","sin_deg(x4)",0.0043112372033613
"S1",4,"Feature1","troot(x4)*troot(x4)",1
"S1",4,"Feature2","x4*x2",0.957423989865856
"S1",4,"Feature3","x4*x3",0.0437080639267656
"S1",4,"Feature4","troot(x4)",0.00139124151049304
"S2",4,"Feature1","troot(x7*(x4*x4))",0.513490796338099
"S2",4,"Feature2","troot(x6*(x4*x4))",0.486509215784712
"S2",4,"Feature3","x6",0.0592164697760904
"S3",4,"Feature1","troot(x4*x4)",1
"S3",4,"Feature2","x4*x6",1
"S3",4,"Feature3","x4",0.982099164085119
"S3",4,"Feature4","x6",0.208771982699008
"S3",4,"Feature5","x7",0.132624689638569
"S3",4,"Feature6","x4*x4",0.0189130116660854
"S3",4,"Feature7","x3*x10",0.00170193818206265
"S4",4,"Feature1","troot(x7*(x4*x4))",0.999999977514211
"S4",4,"Feature2","x10",0.218462961701544
"S5",4,"Feature1","troot((x7*x4)*x4)",1
"S5",4,"Feature2","x10",0.195254812656236
"S5",4,"Feature3","x3",0.104521674170014
"S5",4,"Feature4","x7",0.0777498898139505
"S6",4,"Feature1","troot(x7*(x4*x4))",0.999988533671053
"S6",4,"Feature2","x2",0.199988782885276
"S6",4,"Feature3","x4",0.109489672115371
"S6",4,"Feature4","x7",0.0621172566066217
"S6",4,"Feature5","x5",0.0584255304721941
"S1",5,"Feature1","troot((x6*x4)*x4)",0.998117522233781
"S1",5,"Feature2","x10",0.281711169430373
"S1",5,"Feature3","x4",0.0736240270003436
"S1",5,"Feature4","x6*x4",0.00231084791620504
"S1",5,"Feature5","troot(x4*x4)",0.00188552904430154
"S2",5,"Feature1","troot((x4*x7)*x4)",1
"S2",5,"Feature2","x2",0.281546122394704
"S2",5,"Feature3","x6",0.151302853392666
"S2",5,"Feature4","x4",0.140754550609931
"S3",5,"Feature1","troot(x4*(x6*x4))",0.995356506265978
"S3",5,"Feature2","x4",0.103158096689066
"S3",5,"Feature3","troot(x4*x4)",0.0046484584081299
"S3",5,"Feature4","x4*x8",0.00330363740473537
"S3",5,"Feature5","x6*x4",0.002533746031258
"S3",5,"Feature6","sigmoid(x4)",0.00198307613885011
"S3",5,"Feature7","troot(x4)",0.00118998115689222
"S3",5,"Feature8","sin_deg(x4)",0.00107753289218885
"S4",5,"Feature1","troot((x4*x6)*x4)",1
"S4",5,"Feature2","troot(x4)",0.0010017558899671
"S5",5,"Feature1","x4*x7",0.999999994364411
"S5",5,"Feature2","x4",0.992617419910673
"S5",5,"Feature3","troot(x4*x4)",0.989833714916245
"S5",5,"Feature4","x10",0.220982146379934
"S5",5,"Feature5","x2",0.145403992655182
"S5",5,"Feature6","x4*x4",0.0252367569672825
"S5",5,"Feature7","x10*x4",0.0131660128712336
"S5",5,"Feature8","exp_dbl(x6)",0.00119724359607184
"S6",5,"Feature1","troot(x4*x4)",1
