"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,TRUE,FALSE,FALSE,FALSE,3,0.727559147547627,0.636745530063503,0.000842244461133389,0.00179093385775776,687.684548542455,0.999999891627091,4,2378.02899999998,"troot((x6*x4)*x4)","x4","x4*x6",1,0.999966234222017,0.992888010738529
"S2",1,FALSE,FALSE,FALSE,FALSE,5,0.583971723035826,0.583971723035826,0.00146717151662676,0.00252556152411001,703.487670133727,0.999999784484981,5,2322.89600000001,"troot(x4*x4)*x7","troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S3",1,FALSE,FALSE,FALSE,FALSE,13,0.358058781019504,0.358058781019504,0.0453058349071135,0.30387913112564,565.188401347248,0.99687993682425,13,2320.99599999998,"troot(x7*(x10*x4))","troot(x4)*(x4*x3)","x9*(x4*x3)",1,1,1
"S4",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917742594570826,0.00158196438999843,673.695386157929,0.999999915441934,4,2249.29800000001,"(troot(x4)*troot(x4))*x6","troot(x4)*troot(x4)","x9",1,1,0.585033058614598
"S5",1,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,0.000961319072036085,0.00159619102521944,673.695386157928,0.999999913914231,5,2020.40899999999,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,1,0.724867707223574
"S6",1,TRUE,FALSE,FALSE,FALSE,4,0.584578795415943,0.480723494269929,0.000828587219965748,0.00180932957952676,687.684548542455,0.999999889389335,5,2301.40300000005,"troot(x4*(x6*x4))","x4","x6*x4",1,0.999975773147929,0.994461668216165
"S1",2,FALSE,FALSE,FALSE,FALSE,4,0.412120177547471,0.412120177547471,0.000922574686697565,0.00161409122719061,683.81122596715,0.999999911972617,4,2318.33500000002,"troot(x4*x4)","x6*troot(x4*x4)","x9",0.999956862720322,0.99269832313468,0.475626262712994
"S2",2,FALSE,FALSE,FALSE,FALSE,6,0.543291565763375,0.543291565763375,0.00153460952527063,0.00242110700047812,697.519928711663,0.999999801943271,6,2341.25900000002,"troot(x4*x4)","x7*troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S3",2,FALSE,TRUE,FALSE,FALSE,7,0.253659781109874,0.147039800203187,0.00206834444226234,0.00636105436063319,687.026262076792,0.999998632838406,8,2563.076,"troot((x4*x9)*x4)","troot((x4*x9)*x4)*x6","x5",1,1,0.99999471254167
"S4",2,FALSE,FALSE,FALSE,FALSE,7,0.486070042357344,0.486070042357344,0.0015146746504016,0.00241247011253484,697.901528862908,0.999999803353818,7,2345.07900000003,"troot(x4*x4)","troot(x4*x4)*x7","troot(x4*x4)*x9",1,1,1
"S5",2,FALSE,FALSE,FALSE,FALSE,14,0.403456887943381,0.403456887943381,0.766623241541453,5.51169413893513,538.020386193611,-0.0264359497430213,14,2371.74599999998,"((x4*x2)*sin_deg(x4*x3))*(x4*x3)","x4","x3*((x6*x4)*sigmoid(x3))",1,1,1
"S6",2,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000919554619548057,0.00158869658459045,673.695386157929,0.999999914720713,4,2425.58199999999,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",1,1,0.584138374869539
"S1",3,FALSE,FALSE,FALSE,FALSE,6,0.472147976379835,0.472147976379835,0.00163898147322627,0.00249068620802636,691.18800992846,0.999999790395951,6,2349.66899999999,"x9*troot(x4*x4)","troot(x4*x4)","troot(x4*x4)*sin_deg(x7)",1,1,0.999999177642446
"S2",3,FALSE,FALSE,FALSE,FALSE,15,0.341107005905012,0.341107005905012,1.25299087395517,8.67717736093531,528.505719223933,-1.5440086570984,15,2474.902,"troot(troot(x4))","x6*x4","sin_deg(x4)*x4",1,1,1
"S3",3,FALSE,FALSE,FALSE,FALSE,9,0.34664498817783,0.34664498817783,0.00154591709372289,0.00244147046553664,682.51183271814,0.999999798597626,9,2352.42000000004,"troot(x4)*troot(x4)","x9*(troot(x4)*troot(x4))","x7*(troot(x4)*troot(x4))",1,1,1
"S4",3,FALSE,FALSE,FALSE,FALSE,5,0.58772654656929,0.58772654656929,0.00145584453116424,0.0025583856847838,697.315326731169,0.999999778846576,5,2262.03899999999,"troot(x4*x4)","x7*troot(x4*x4)","x9*troot(x4*x4)",1,1,1
"S5",3,FALSE,FALSE,FALSE,FALSE,15,0.32743934734157,0.32743934734157,0.47448737389045,3.46373426226138,537.172684105829,0.594630782177271,15,2330.34899999999,"sin_deg(x4)","x4*x8","x4",1,1,1
"S6",3,FALSE,FALSE,FALSE,FALSE,7,0.475855349410427,0.475855349410427,0.00170970828274236,0.00247450038608089,694.413008035453,0.99999979311134,7,2264.16200000001,"troot(x4*x4)","x9*troot(x4*x4)","x7*troot(x4*x4)",1,1,1
"S1",4,FALSE,FALSE,FALSE,FALSE,7,0.486070042357344,0.486070042357344,0.00153196006209236,0.00241920521786592,697.901528862894,0.999999802254296,7,2311.13499999995,"troot(x4*x4)*x7","troot(x4*x4)","troot(x4*x4)*x9",1,1,1
"S2",4,FALSE,FALSE,FALSE,FALSE,15,0.450795745643484,0.450795745643484,0.916645923900581,6.64181813011375,621.817817275281,-0.490512403907081,15,2548.88,"x10*x4","x4","x7*(x3*x4)",1,1,1
"S3",4,FALSE,FALSE,FALSE,TRUE,7,0.346676335781707,0.160013445141019,0.00294750429153303,0.0117478937180236,665.442348153864,0.999995336825649,9,2246.48100000003,"x9*troot(x4*(x7*x4))","troot(x4*(x7*x4))","troot(x4*(x7*x4))*sigmoid(x7)",1,1,1
"S4",4,FALSE,FALSE,FALSE,FALSE,6,0.481105408226723,0.481105408226723,0.00151972531699627,0.0024200482148345,692.045028932149,0.999999802116459,6,2335.63400000002,"troot(x4*x4)*x9","troot(x4*x4)","(x5*x5)*(x5*x5)",1,1,0.999999963041116
"S5",4,FALSE,FALSE,FALSE,FALSE,15,0.362900945395414,0.362900945395414,4.88356734925749,35.7527593596353,525.042350859162,-42.1897576888195,15,2256.81199999998,"x4*x8","x3","x4",1,1,1
"S6",4,FALSE,FALSE,FALSE,FALSE,5,0.585510552498967,0.585510552498967,0.00146556599869979,0.00260664224122976,692.097475618705,0.999999770425053,5,2310.67700000003,"x9*troot(x4*x4)","troot(x4*x4)","x7*troot(x4*x4)",1,1,0.999604470208795
"S1",5,FALSE,FALSE,FALSE,FALSE,6,0.553341038025703,0.553341038025703,0.00165082228816877,0.00247273248627849,689.512459043016,0.999999793406856,6,2293.30799999996,"troot(x4*(x9*x4))*x7","troot(x4*x4)","x9*troot(x4*x4)",1,1,1
"S2",5,FALSE,FALSE,FALSE,FALSE,6,0.542395629426602,0.542395629426602,0.00153005913002067,0.00241783882035905,697.901528862952,0.999999802477612,6,2429.94900000002,"troot(x4*x4)*x7","x9*troot(x4*x4)","troot(x4*x4)",1,1,1
"S3",5,FALSE,FALSE,FALSE,FALSE,7,0.583358667963509,0.583358667963509,0.00134879103524515,0.00178470809073508,684.235139419477,0.999999892379248,7,2247.52300000004,"troot(x4*x4)","x5","x9*troot(x4*x4)",1,0.999999644153595,0.564860480964915
"S4",5,TRUE,FALSE,FALSE,FALSE,4,0.578938763031178,0.473673453788972,0.00115780429887777,0.00240923173433503,720.216130630124,0.999999803881399,5,2293.04399999999,"x4*x8","troot((x4*x6)*x4)","troot((x4*x6)*x4)*troot(x4*x8)",1,1,0.999999999999992
"S5",5,TRUE,FALSE,FALSE,FALSE,3,0.782114210964102,0.709485619547464,0.00159353730268568,0.00235459928271477,671.716965893096,0.999999812675039,4,2407.39999999997,"x4","x6*x4","troot(1+(x4*(x6*x4)))",1,1,1
"S6",5,TRUE,FALSE,FALSE,FALSE,1,0.999999656085019,0.999999312170039,0.00080654025609061,0.0016234633657188,674.517573831117,0.999999910947396,2,2698.71100000001,"troot(x4)*troot(x6*x4)","troot(x4)*troot(x4)",NA,1,0.999991116296445,NA
"S1",6,FALSE,FALSE,FALSE,FALSE,7,0.456442102620634,0.456442102620634,0.00154261000056418,0.00243158419475613,697.519928711662,0.999999800225405,7,2418.32399999996,"x7*troot(x4*x4)","troot(x4*x4)","x9*troot(x4*x4)",1,1,1
"S2",6,FALSE,TRUE,FALSE,FALSE,3,0.571365579999365,0.428487557513593,0.00132591936895424,0.00210510548884773,695.856010035383,0.999999850269814,4,2282.86800000002,"x6*troot(x7*(x4*x4))","troot(x9*(x4*x4))","x5",1,1,0.999995758965172
