"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,TRUE,FALSE,FALSE,FALSE,1,0.50221070672575,0.00442141345149907,0.0313902399516313,0.0347791977568625,-94.5244319535552,0.999959130365302,2,2159.14600000001,"troot(x4*(x6*x4))","x10",NA,0.999406917124304,0.303891969314757,NA
"S2",1,FALSE,FALSE,FALSE,TRUE,0,0.999998921420326,NA,0.0446221722158311,0.0763182798838542,-94.3406692127019,0.999803202860025,1,2221.78399999999,"troot((x4*x7)*x4)",NA,NA,1,NA,NA
"S3",1,FALSE,FALSE,FALSE,FALSE,4,0.531616614779402,0.531616614779402,0.0366557551516161,0.0587137110880475,-96.7669448270559,0.999883522859874,4,2288.64499999996,"troot(x4*x4)","x4*x2","x6",1,0.96240581509656,0.233890863969156
"S4",1,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0389756337573155,0.0601067826608952,-96.7669448270558,0.99987793009684,3,2257.99199999997,"x2*x4","troot(x4*x4)","x2",0.995054343154815,0.987139178791208,0.180815386951998
"S5",1,FALSE,TRUE,FALSE,FALSE,2,0.733983182178753,0.600974949539788,0.0423452749484045,0.0843253380828493,-106.240041651407,0.99975974202186,3,2200.98100000003,"troot(x9)*troot(x4*x4)","x2*x4","x4",1,0.852084084755382,0.160949409468173
"S6",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0320552423689859,0.0331325611037375,-94.5244319535552,0.999962908734505,1,2286.62400000001,"troot(x6*(x4*x4))",NA,NA,0.999999993603595,NA,NA
"S1",2,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0389617492556416,0.0601858522804074,-101.896843541979,0.999877608723147,2,2135.81599999999,"x2*x4","troot((x4*x4))",NA,0.999966682604334,0.999962338499683,NA
"S2",2,FALSE,FALSE,FALSE,TRUE,2,0.276981092777318,-0.0845278215441859,0.0460516849402573,0.0803758845356046,-94.3406692127019,0.999781720391287,3,2329.72200000001,"troot(x4*(x4*x7))","x2","x6",1,0.268767945433427,0.15925837481738
"S3",2,FALSE,FALSE,FALSE,FALSE,5,0.582782424944276,0.582782424944276,0.166099153982129,0.715535187766627,-105.167841837259,0.982700895284079,5,2208.54299999995,"x8*x4","x10*x4","x4",0.999997644494342,0.987469084208803,0.987459222685325
"S4",2,FALSE,FALSE,FALSE,FALSE,3,0.995239551497518,0.995239551497518,0.0449409997062312,0.0738051563417931,-100.717970320674,0.999815950329214,3,2228.00200000004,"troot(x4*x4)","x4","x6*x4",1,0.999988804372954,0.999987034960279
"S5",2,FALSE,FALSE,FALSE,FALSE,4,0.267238121297937,0.267238121297937,0.0373116844225062,0.0607825620884363,-96.7669448270559,0.999875169807386,4,2274.26300000004,"x2*x4","troot(x4*x4)","x6",0.99999999999556,0.99999999999556,0.211041541246937
"S6",2,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0930401931927833,0.341580821854823,-99.5125191073179,0.996057709766456,3,2303.91700000002,"x10*x4","troot(x4)*x4","x4",1,1,1
"S1",3,FALSE,FALSE,FALSE,FALSE,5,0.573462860287722,0.573462860287722,0.0965970648514066,0.34692460310831,-99.5125191073179,0.995933396443788,5,2311.17499999999,"x4","x10*x4","troot(x4)*x4",0.999999999554459,0.997635994117752,0.980179365059266
"S2",3,FALSE,FALSE,FALSE,TRUE,2,0.303615814638486,-0.0445757387524339,0.0475093894249525,0.0843214584997748,-94.3406692127019,0.999759764128604,3,2281.28899999999,"troot(x7*(x4*x4))","x2","x10",1,0.212882622676236,0.182334214745415
"S3",3,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.03184484567254,0.0328935725314105,-94.5244319535552,0.999963441890918,1,2134.80099999998,"troot(x6*(x4*x4))",NA,NA,1,NA,NA
"S4",3,FALSE,FALSE,FALSE,TRUE,1,0.996429109555188,0.992859297690051,0.0446950132032346,0.0764565003770828,-94.3406692127019,0.999802489373555,2,2304.82700000005,"troot(x4*(x4*x7))","x4",NA,0.999999669891556,0.151235064175164,NA
"S5",3,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0390470984685787,0.061081364723996,-96.7669448270559,0.99987393947848,2,2202.12,"troot(x4*x4)","x4*x2",NA,1,0.999999992643591,NA
"S6",3,FALSE,FALSE,FALSE,FALSE,4,0.722952775676917,0.722952775676917,0.094640701960364,0.341405174692307,-99.5125191073178,0.99606176312082,4,2248.09000000003,"x4","troot(x4)*x4","x10*x4",1,1,0.999999999999998
"S1",4,FALSE,FALSE,FALSE,FALSE,2,0.604544956779782,0.604544956779782,0.0375453619917754,0.0510753907393816,-101.896843541979,0.999911857567562,2,2132.51199999999,"troot(x4)*troot(x4)","x4*x2",NA,1,0.957423989865856,NA
"S2",4,TRUE,FALSE,FALSE,TRUE,0,0.999999460710163,NA,0.0354629864906386,0.0428637686184307,-94.3406692127019,0.999937921339167,2,2331.973,"troot(x7*(x4*x4))","troot(x6*(x4*x4))",NA,0.513490796338099,0.486509215784712,NA
"S3",4,FALSE,FALSE,FALSE,FALSE,5,0.569116245224947,0.569116245224947,0.0414254436658369,0.0680221061981316,-100.717970320674,0.999843662995648,5,2302.679,"troot(x4*x4)","x4*x6","x4",1,1,0.982099164085119
"S4",4,FALSE,FALSE,FALSE,TRUE,1,0.502210167435913,0.00442141345149907,0.0453757484991179,0.0796000831228237,-94.3406692127019,0.999785913797631,2,2287.03399999999,"troot(x7*(x4*x4))","x10",NA,0.999999977514211,0.218462961701544,NA
"S5",4,FALSE,FALSE,FALSE,TRUE,2,0.215778935620048,-0.176331057280092,0.0450620765241816,0.0785478947782439,-94.3406692127019,0.99979153615913,3,2225.82500000001,"troot((x7*x4)*x4)","x10","x3",1,0.195254812656236,0.104521674170014
"S6",4,FALSE,FALSE,FALSE,TRUE,2,0.63309510938467,0.449643203366842,0.0446122325069723,0.0762858384489086,-94.3406692127019,0.999803370133834,3,2419.66000000003,"troot(x7*(x4*x4))","x2","x4",0.999988533671053,0.199988782885276,0.109489672115371
