"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","Count_P","Time","FirstFeature","SecondFeature","ThirdFeature"
"P1",1,FALSE,FALSE,FALSE,FALSE,3,0.668521412733855,0.668521412733855,0.000928422602758183,3,670.59,"troot(x4*x4)","(troot(x4)*troot(x4))*x6","x9"
"P1",2,TRUE,FALSE,FALSE,FALSE,3,0.723036512776154,0.630715350368206,0.000828802546085398,4,705.36,"troot(x4*(x4*x6))","x4","x4*x7"
"P1",3,FALSE,FALSE,FALSE,FALSE,3,0.64150431355363,0.64150431355363,0.000982838030146453,3,696.92,"troot(x4*x4)","x6*troot(x4*x4)","x6"
"P1",4,FALSE,FALSE,FALSE,FALSE,9,0.53086270942473,0.53086270942473,0.00202938020929958,9,678.85,"troot((x4*x4))","troot((x4*x4))*x9","x7"
"P1",5,FALSE,FALSE,FALSE,FALSE,3,0.714244403037591,0.714244403037591,0.000974491357080941,3,644.56,"troot(x4*x4)","x6*troot(x4*x4)","x5"
"P1",6,TRUE,FALSE,FALSE,FALSE,4,0.582931600728402,0.478664500910502,0.000831016807497211,5,614.64,"troot(x4*(x4*x6))","x4","x4*x6"
"P1",7,FALSE,FALSE,FALSE,FALSE,3,0.64150431355363,0.64150431355363,0.000982796280782471,3,603.75,"troot(x4*x4)","troot(x4)*(troot(x4)*x6)","x6"
"P1",8,FALSE,FALSE,FALSE,FALSE,8,0.423632193457406,0.423632193457406,0.00268984014604166,8,627.83,"x4","x7","troot(x4*x4)"
"P1",9,FALSE,FALSE,FALSE,FALSE,2,0.999999245436819,0.999999245436819,0.000880732750309257,2,574.77,"troot(x4*x4)","troot(x6*x4)*troot(x6*x4)","NA"
"P1",10,TRUE,FALSE,FALSE,FALSE,5,0.509757108653177,0.411708530383812,0.00128186624844545,6,617.41,"troot(x4*(x4*x6))","x4*x6","x6"
"P1",11,TRUE,FALSE,FALSE,FALSE,2,0.651563742212784,0.477345613319177,0.000829952718988672,3,662.799999999999,"troot(x6*(x4*x4))","x8*x4","x4"
"P1",12,TRUE,FALSE,FALSE,FALSE,3,0.727559047482245,0.636745396642993,0.000827711835721608,4,630.14,"troot(x4*(x4*x6))","x4","x7*x4"
"P1",13,FALSE,FALSE,FALSE,FALSE,4,0.519519633219241,0.519519633219241,0.000969991692702116,4,608.72,"troot(x4*x4)","troot(x4*x4)*x6","x5"
"P1",14,FALSE,FALSE,TRUE,FALSE,9,0.490975232968583,0.434416948665355,0.0150503992387044,10,666.09,"troot(x4*x9)*troot(x4*x9)","(x5*x4)*x9","x4"
"P1",15,TRUE,FALSE,FALSE,FALSE,4,0.818943927172786,0.773679912662479,0.00201530888710901,5,613.92,"troot(1+((x4*x4)*x6))","x5","x4"
"P1",16,FALSE,FALSE,FALSE,FALSE,4,0.411833394558178,0.411833394558178,0.000969459837906865,4,645.330000000002,"troot(x4*x4)","troot(x4*x4)*x6","x3"
"P1",17,FALSE,FALSE,FALSE,FALSE,4,0.537075387230731,0.537075387230731,0.00147087945003781,4,650.57,"troot(1+x4)*troot(1+x4)","(troot(x4)*troot(x4))*x6","x5"
"P1",18,FALSE,FALSE,FALSE,FALSE,3,0.64150431355363,0.64150431355363,0.000983000175312946,3,631.800000000001,"troot(x4*x4)","x6*troot(x4*x4)","x6"
"P1",19,FALSE,FALSE,FALSE,FALSE,3,0.668521412733855,0.668521412733855,0.000928423303370526,3,650.699999999999,"troot(x4*x4)","(troot(x4)*troot(x4))*x6","x9"
"P1",20,TRUE,FALSE,FALSE,FALSE,2,0.714245609496639,0.571368414244959,0.000827667796942688,3,664.209999999999,"troot(x4*x4)","troot((x6*x4)*x4)","x5"
"P1",21,FALSE,FALSE,FALSE,FALSE,3,0.668521558439022,0.668521558439022,0.000975288431394982,3,684.380000000001,"troot(1+(x4*x4))","troot(1+(exp_dbl(x6)*(x4*x4)))","x9"
"P1",22,FALSE,FALSE,FALSE,FALSE,9,0.761050081708725,0.761050081708725,0.00371744762115473,9,636.799999999999,"x4","troot(x4*x4)","x4*x10"
"P1",23,FALSE,FALSE,FALSE,FALSE,20,0.529344122717891,0.529344122717891,0.0338473486791807,20,624.91,"x4*x4","x4*x10","x4*(x4*x8)"
"P1",24,FALSE,TRUE,FALSE,FALSE,8,0.529481246475029,0.470666446352322,0.00201729301266327,9,733.68,"x4","x4*x9","x4*(x9*x7)"
"P1",25,FALSE,FALSE,FALSE,FALSE,9,0.661097352500674,0.661097352500674,0.0393043523939546,9,639.470000000001,"troot(x4*x4)","x4","x6"
"P1",26,FALSE,TRUE,FALSE,FALSE,6,0.700874469680032,0.651020273383924,0.00109199690383735,7,639.349999999999,"troot(x4*(x9*x4))","x4","x4*x6"
"P1",27,FALSE,FALSE,FALSE,FALSE,6,0.473529164080881,0.473529164080881,0.00144507674262262,6,661.779999999999,"x9*troot(x4*x4)","(x9*troot(x4*x4))*x7","x1*x4"
"P1",28,FALSE,FALSE,FALSE,FALSE,7,0.301260478772048,0.301260478772048,0.00352004824524774,7,674.059999999998,"troot(x4*x4)","x7","troot(x4*x4)*x9"
"P1",29,TRUE,FALSE,FALSE,FALSE,5,0.237170928737439,0.0846051144849266,0.00185606678402931,6,651.580000000002,"troot(x4*(x6*x4))","troot(x4*(x8*x4))","x5"
"P1",30,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000822927633729007,3,674,"troot(x4*(x6*x4))","x4","x6*x4"
"P2",1,FALSE,FALSE,FALSE,FALSE,8,0.725491361089721,0.725491361089721,0.00607175808229783,8,706,"x4","x4*x10","troot(x4)*troot(x4)"
"P2",2,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000830873139166027,3,706.099999999999,"troot(x4*(x6*x4))","x4","x6*x4"
"P2",3,FALSE,FALSE,FALSE,FALSE,14,0.436271829411426,0.436271829411426,0.0176098869134842,14,719.189999999999,"troot(x4)","x4","sin_deg(x4)"
"P2",4,TRUE,FALSE,FALSE,FALSE,2,0.645114878644743,0.467672317967114,0.000812921115379001,3,670.77,"troot(x4*x4)*troot(x6)","troot(x4*x4)","x7"
"P2",5,FALSE,FALSE,FALSE,FALSE,7,0.30727267671229,0.30727267671229,0.00174197311873726,7,672.329999999998,"troot(x4*x4)","troot((x6*x4)*(x9*x4))","x5"
"P2",6,FALSE,FALSE,FALSE,FALSE,4,0.48252037151739,0.48252037151739,0.000922223697782115,4,710.899999999998,"troot(x4*x4)","x6*troot(x4*x4)","x9"
"P2",7,FALSE,FALSE,FALSE,FALSE,4,0.785671346112084,0.785671346112084,0.00177910333080237,4,657.91,"troot(x4*x4)","x5","x9*troot(x4*x4)"
"P2",8,FALSE,FALSE,FALSE,FALSE,3,0.645113672185694,0.645113672185694,0.000972243343417541,3,683.079999999998,"troot(x4*x4)","x6*troot(x4*x4)","x7"
"P2",9,FALSE,FALSE,TRUE,FALSE,5,0.543291573679396,0.451949930075747,0.00152846466924913,6,694.630000000001,"troot(x4)*troot(x4)","x7*(troot(x4)*troot(x4))","troot(x9*x4)*troot(x9*x4)"
"P2",10,TRUE,FALSE,FALSE,FALSE,3,0.782114114595216,0.709485486126955,0.000890996813554568,4,676.639999999999,"troot((x4*x4)*x6)","x4","x4*x7"
"P2",11,FALSE,FALSE,FALSE,FALSE,4,0.460442031400179,0.460442031400179,0.000971309701491191,4,717.529999999999,"x6*troot(x4*x4)","troot(x4*x4)","x7"
"P2",12,FALSE,FALSE,FALSE,FALSE,14,0.485286177131009,0.485286177131009,0.129299738903411,14,665.380000000001,"x4","(x2*x4)*troot(x4)","troot(x4)"
"P2",13,FALSE,FALSE,FALSE,FALSE,3,0.714245335731172,0.714245335731172,0.000880512775569298,3,681.23,"troot(x4*x4)","troot(x4*((x6*x4)*x6))","x5"
"P2",14,TRUE,FALSE,FALSE,FALSE,3,0.782114114595216,0.709485486126955,0.000898398062569336,4,668.279999999999,"troot(x4*(x4*x6))","x4","x4*x7"
"P2",15,TRUE,FALSE,FALSE,FALSE,3,0.587956857469861,0.450609143293148,0.000832452343809613,4,672.170000000002,"troot(x6*(x4*x4))","troot(x4*x4)","x5"
"P2",16,FALSE,FALSE,FALSE,FALSE,5,0.41621099516543,0.41621099516543,0.000905654795705871,5,689.5,"troot(x4*x4)","x6*troot(x4*x4)","x9"
"P2",17,FALSE,FALSE,FALSE,FALSE,4,0.48252037151739,0.48252037151739,0.0009221667798184,4,706.18,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9"
"P2",18,TRUE,FALSE,FALSE,FALSE,2,0.995239647353662,0.992859471030492,0.000829687788756407,3,674.690000000002,"troot((x6*x4)*x4)","x4","x4*x7"
"P2",19,FALSE,FALSE,FALSE,FALSE,12,0.563892892420466,0.563892892420466,0.0168955525015785,12,712.610000000001,"x8*x4","x6","x6*x4"
"P2",20,TRUE,FALSE,FALSE,FALSE,3,0.782114214660598,0.709485619547464,0.000833780094969475,4,663.959999999999,"troot(x4*(x4*x6))","x4","x4*x6"
"P2",21,FALSE,FALSE,FALSE,FALSE,4,0.729343059587735,0.729343059587735,0.000981543055997725,4,670.080000000002,"troot(x4*x4)","troot(x4*x4)*x6","x6"
"P2",22,FALSE,FALSE,FALSE,FALSE,4,0.519519633219241,0.519519633219241,0.000970980567879998,4,706.529999999999,"troot(x4*x4)","x6*troot(x4*x4)","x5"
"P2",23,FALSE,FALSE,FALSE,FALSE,4,0.516812614245192,0.516812614245192,0.000974476729513412,4,708.360000000001,"troot(x4*x4)","x6*troot(x4*x4)","x5"
"P2",24,FALSE,FALSE,FALSE,FALSE,2,0.999997766855638,0.999997766855638,0.00179191836348164,2,674.450000000004,"troot(1+(x6+(x4*x4)))","x6*troot(1+(x6+(x4*x4)))","NA"
"P2",25,FALSE,TRUE,FALSE,FALSE,9,0.525147834595885,0.472386522055796,0.00806264841110687,10,710.120000000003,"x4","x8*(x4*(x3*troot(x4)))","x4*x7"
"P2",26,FALSE,FALSE,FALSE,FALSE,2,0.999999245436819,0.999999245436819,0.000880736964176072,2,671.810000000005,"troot(x4*x4)","troot((x6*x4)*(x6*x4))","NA"
"P2",27,TRUE,FALSE,FALSE,FALSE,3,0.418372993922915,0.224497325230553,0.000829048975754359,4,675.440000000002,"troot(x4*(x4*x6))","x4*x8","x4*x6"
"P2",28,FALSE,FALSE,FALSE,FALSE,4,0.519518365164429,0.519518365164429,0.00186546616263949,4,702.07,"troot(x4*x4)","(x9*troot(x4*x4))*x6","x7"
"P2",29,FALSE,FALSE,FALSE,FALSE,4,0.485227390491439,0.485227390491439,0.000923126574779652,4,689.349999999999,"troot(x4)*troot(x4)","x6*(troot(x4)*troot(x4))","x9"
