"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,TRUE,FALSE,FALSE,5,0.819250014629301,0.783100088063825,0.00169492310408469,0.0026188392274126,685.853448749488,0.999999768271574,6,963.723999999987,"x4","x9*x4","troot(x4*(x9*x4))",1,1,1
"S2",1,FALSE,TRUE,FALSE,FALSE,6,0.454895220814774,0.364044483041122,0.00153596105065694,0.00253816864494664,696.231515239987,0.999999782327991,7,1005.84699999995,"troot(x9*(x4*x4))","x5","sigmoid(x5)",1,0.999999999999194,0.999999999271707
"S3",1,FALSE,FALSE,FALSE,FALSE,4,0.537075438630361,0.537075438630361,0.000917620375409389,0.00158972978173171,683.955183587772,0.999999914609756,4,887.515000000014,"troot(x4*x4)","troot(x4*x4)*x6","x9",1,1,0.583592681173242
"S4",1,TRUE,FALSE,FALSE,FALSE,4,0.37566371778302,0.219579647228775,0.00119379488538198,0.00212406638530586,690.058089526153,0.999999847560397,5,988.258000000031,"troot(x6*x4)*troot(x4)","x4","x4*x8",1,0.999999995972827,0.999996677603587
"S5",1,FALSE,FALSE,FALSE,FALSE,7,0.429708760112568,0.429708760112568,0.00206967799067326,0.00345825629708785,628.09836533776,0.999999595911967,7,1099.74500000005,"x9*(troot(x4)*troot(1+x4))","(x9*(troot(x4)*troot(1+x4)))*(x7*x9)","x7*(x9*(troot(x4)*troot(1+x4)))",1,1,1
"S6",1,FALSE,FALSE,FALSE,FALSE,5,0.414563800477888,0.414563800477888,0.000908556388687447,0.00159490996469956,673.695386157929,0.999999914052356,5,1087.44900000002,"troot(x4)*troot(x4)","(troot(x4)*troot(x4))*x6","x9",0.999999999127475,0.999815532513157,0.641726227213598
"S1",2,FALSE,TRUE,FALSE,FALSE,4,0.359358386406357,0.199198071145866,0.00202849111103343,0.00405862936012411,679.502131786458,0.999999443429195,5,952.798999999999,"troot(1+(x6*((x9*x4)*x4)))","x1*x4","x7",1,1,1
"S2",2,TRUE,FALSE,FALSE,FALSE,2,0.995239780774171,0.992859671161257,0.000833847666140641,0.00180247021995008,682.554649827532,0.999999890226419,3,992.500999999989,"troot(x4)*troot(x4*x6)","x4","x4*x6",1,0.999983803813805,0.999979714891611
"S3",2,TRUE,FALSE,FALSE,FALSE,10,0.335523307503534,0.269075638253888,0.00139957540201577,0.00277839734320899,710.297918746103,0.999999739174321,11,955.614999999991,"troot(x4*(x6*x4))","x4","x6*x4",1,0.999999999999547,0.999999999865601
"S4",2,FALSE,FALSE,FALSE,FALSE,7,0.4601268139524,0.4601268139524,0.00161264500908431,0.00245399717361224,696.334701605583,0.999999796525611,7,1067.25599999999,"troot(x4*x4)*x7","troot(x4*x4)*x9","troot(x4*x4)",1,0.999999999997565,0.999999547966961
"S5",2,FALSE,FALSE,FALSE,FALSE,3,0.64150431355363,0.64150431355363,0.000983689507267263,0.00164218335650915,683.748086912524,0.999999908881843,3,933.214000000036,"troot(x4*x4)*x6","troot(x4*x4)","x6",1,1,0.110991480872426
"S6",2,FALSE,FALSE,FALSE,TRUE,7,0.391176545238007,0.304201920069104,0.00894053390035499,0.0562219920230409,646.504641306705,0.999893199301209,8,1039.73499999999,"troot(x7*(x4*x4))","(troot(x6)*troot(x7*(x4*x4)))*x9","(troot(x7*(x4*x4))*x7)*x9",1,1,1
