"Experiment","Run","F1","F2","F3","F4","Count_FP","Correlation","Correlation_FP","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM"
"S1",1,FALSE,FALSE,FALSE,FALSE,3,0.377869053809186,0.377869053809186,0.0366283420357606,0.0589900190324595,-96.7669448270559,0.999882423992615,3,969.075000000012,"x4*x2","troot(x4*x4)","x6",0.999999998279633,0.999999986058421,0.238172424856154
"S2",1,FALSE,FALSE,FALSE,FALSE,3,0.985488592981159,0.985488592981159,0.0930675530463382,0.341644443993199,-99.5125191073178,0.996056241064017,3,973.731000000029,"x4","x4*troot(x4)","x10*x4",0.999999999593914,0.999999999552054,0.999981261103664
"S3",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0323235837473008,0.0332707149492565,-94.5244319535552,0.999962598768461,1,918.534999999974,"troot((x4*x4)*x6)",NA,NA,1,NA,NA
"S4",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322850025423437,0.0332351370664025,-94.5244319535552,0.999962678715356,1,1097.65000000002,"troot(x4*(x6*x4))",NA,NA,0.999999691980338,NA,NA
"S5",1,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0322648846686787,0.0331906519094091,-99.6543306684783,0.999962778557405,1,915.054000000004,"troot(x4*x4)*troot(x6)",NA,NA,0.999401947578129,NA,NA
"S6",1,FALSE,FALSE,FALSE,FALSE,3,0.404503775670354,0.404503775670354,0.0389906751044471,0.0620916745423656,-96.7669448270558,0.999869734808955,3,1011.76400000002,"troot(x4*x4)","x4*x2","x10",1,0.993437228121455,0.184472547601593
"S1",2,FALSE,FALSE,FALSE,FALSE,3,0.284002128515961,0.284002128515961,0.0384652193004066,0.0600419448828669,-96.7669448270558,0.99987819331081,3,933.782999999996,"troot(x4*x4)","x4*x2","x3",1,1,0.113821016092505
"S2",2,FALSE,FALSE,FALSE,TRUE,2,0.280590451409383,-0.0791137835960888,0.0479006720304731,0.0821557895948636,-94.3406692127019,0.999771945847823,3,1074.114,"troot(x4*(x7*x4))","x2","x7",1,0.281856113943745,0.104053271566409
"S3",2,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0320190526522996,0.0331566436209544,-94.5244319535552,0.999962854795078,1,919.043999999994,"troot(x4*(x4*x6))",NA,NA,1,NA,NA
"S4",2,TRUE,FALSE,FALSE,FALSE,0,1,NA,0.0318870763026257,0.032930788156074,-94.5244319535552,0.999963359120795,1,1097.08199999999,"troot(x4*(x6*x4))",NA,NA,1,NA,NA
"S5",2,FALSE,FALSE,FALSE,FALSE,3,0.995239401024006,0.995239401024006,0.0451471353103404,0.0742356122879097,-100.720409257459,0.999813797192142,3,985.876999999979,"troot(x4*x4)","x4","x4*x9",1,0.999999993260965,0.999999942731019
"S6",2,FALSE,FALSE,FALSE,FALSE,3,0.371839007534399,0.371839007534399,0.0401648652157837,0.0626908965555972,-96.7669448270559,0.999867208401902,3,1136.603,"troot(x4*x4)","x2*x4","x2",1,0.999999899472014,0.19353989736275
"S1",3,FALSE,FALSE,FALSE,FALSE,4,0.839629353948456,0.839629353948456,0.0632463681242414,0.193376732713134,-99.877214903911,0.998736515053066,4,986.699000000022,"troot(x4*x4)","x4*x3","x4",0.999999999945121,0.693841583645798,0.414496689575107
