"MajorAxis","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","Eccentricity","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","PlanetaryDensJpt"
0.229,0,0.17,0.82,39.03106,0.0684,1.07,1.02,0.12,5777,0.308324023156948
0.01488,0,0.0195,0.2525,1.58040417,0,0.176,0.2213,0.1,3250,1.2112965046137
0.0439,2,0.46,1.045,3.722469,0,0.82,0.81,0.13,4974,0.403096437865258
0.0567,0,0.57,1.39,4.411953,0,1.25,1.28,0.04,6230,0.212241572613241
0.3034,2,4.87,1.12,52.50097,0.535,1.353,4.16,-0.07,4850,3.46636980685131
0.0525,0,0.679,1.399,4.166286,0,1.112,1.209,0.09,5948,0.247979985804873
0.0483,0,0.59,1.42,3.52254,0,1.13,1.45,0.05,6251,0.206056813006585
0.02558,0,4.59,1.438,1.21986967,0,1.495,1.444,0.1,7400,1.54360446949188
0.0243,0,1.9,1.3,1.4013794,0,0.98,0.96,0.02,5675,0.864815657715066
0.027,0,0.505,0.96,2.455239,0.11,0.59,0.55,0.08,3820,0.57079173900463
0.0487,0,1.077,1.03,4.1877537,0,0.88,1.06,0.18,5510,0.985607567123353
0.0378,0,1.169,1.178,2.797436,0.058,0.929,0.877,0.03,5500,0.715119531599619
0.0801,2,2.244,1.038,8.158715,0.31,1.033,0.953,0.17,5600,2.00646132047945
0.0667,0,0.778,1.107,5.72318,0.095,1.207,1.224,0.21,6087,0.573504373773977
0.0414,0,2.147,1.08,3.21222,0.016,0.916,1.04,0.24,5302,1.7043578214703
0.1623,0,3.191,1.095,21.2163979,0.6768,1.275,1.508,0.24,6079,2.43043743970439
0.0526,0,0.52,1.26,4.20474,0,1.09,1.79,0.01,5590,0.259951129187713
1.00000018,0,0.0031457007,0.091130294,365.2422,0.01673163,1,1,1e-08,5778,4.15651244214511
1.52371243,0,0.0003379953,0.048489079,686.98,0.09336511,1,1,1e-08,5778,2.9646870447667
5.20248019,0,1,1,4332.82,0.0485359,1,1,1e-08,5778,1
19.18797948,0,0.0457,0.362775,30687.153,0.0468574,1,1,1e-08,5778,0.957203213020333
30.06952752,0,0.053953,0.35221925,60190.03,0.00895439,1,1,1e-08,5778,1.23474232196099
0.04317,0,0.72,1.32,3.161575,0,1.07,1.09,-0.15,5990,0.313047833708991
67.96,0,5,0.7,166510,0,1.516,1.44,-0.47,7193,14.5772594752187
42.81,0,7,1,83255,0,1.516,1.44,-0.47,7193,7
26.97,0,7,1.1,41628,0,1.516,1.44,-0.47,7193,5.25920360631104
16.99,0,7,1,20816,0,1.516,1.44,-0.47,7193,7
0.0954,0,0.02152,0.2114,10.57375339,0,1.028,1.066,0.27,5687,2.2778615198612
0.4937,0,3.25,0.882,125.63243,0.172,1.014,1.122,-0.01,5820,4.73671882630672
0.0575,0,0.975,1.277,4.641876,0,1.179,1.528,0.27,5743,0.468200554718927
0.0618,0,0.53,1.17,5.35227,0.33,1.098,1.19,0.19,5650,0.330916394909382
0.02945,0,1.47,1.15,1.955096,0.009,0.89,0.84,-0.12,5400,0.966548861675023
0.04747,0,0.714,1.38,3.52474859,4e-04,1.148,1.146,0.02,6075,0.27168205437294
0.03655,0,1.41,1.01,2.21672,0,1.23,1.37,-0.06,6250,1.36853210857798
0.02293,2,1.404,1.736,1.0914222,0,1.35,1.599,0.3,6118,0.268360100145689
0.03,0,1.17,1.227,1.689868,0,1.19,1.35,0.37,6210,0.633362248268774
0.0775,0,0.7,0.975,8.5234865,0.018,0.854,0.768,0.09,5280,0.75523862506111
0.03556,2,1.253,1.169,2.470613402,0,0.983,1.003,0.001,5850,0.784345731676193
0.03138,2,0.914,1.117,2.15222144,0,0.89,0.84,-0.08,5255,0.655823049664964
0.04288,0,0.356,0.718,2.8758916,0,1.3,1.497,0.36,6147,0.96178204510265
0.0334,0,1.55,1.112,2.3114243,0,0.93,1.01,-0.07,5600,1.12724245322959
0.038474,0,0.012,0.1433,3.0931,0,0.794,0.778,0.11,4699,4.07795730803961
0.051,0,1.308,0.885,4.03519,0,1.09,1.01,0.01,5945,1.88702620791588
0.04698,0,0.588,1.158,3.5327313,0,1.1,1.13,-0.05,6000,0.378661933299767
0.0503,2,0.763,1.827,3.474474,0.148,1.403,1.777,0.05,6446,0.125114860463718
0.027,0,7.6,1.09,1.51214,0,1.13,1.21,0.05,6035,5.86859444846409
0.0375,0,1.07,1.27,2.484193,0,1.14,1.26,0.07,6100,0.522363249450908
0.0727,0,0.0231,0.120292,6.88705,0.13,1.08,1.49,0.02,5825,13.2709417533856
0.04987,0,0.636,1.653,3.6936411,0.067,1.15,1.4,-0.27,6100,0.140811639445482
0.02448,0,2.101,1.31,1.43037,0,0.956,0.917,-0.37,5620,0.934570709103857
0.04339,0,1.696,1.136,3.577471,0,0.849,0.977,-0.4,5800,1.15688676793952
0.06246,0,0.44,1.62,4.885525,0.1,1.32,1.96,0.1,6027,0.103492203273741
0.0594,2,2.2,1.2,4.627657,0.095,1.386,1.468,0.11,6600,1.27314814814815
0.091,0,0.006197,0.109083,13.7813,0.05,0.521,0.442,-0.28,3841,4.77430627614685
0.08,0,0.442,1.18,7.845582,0.029,1.126,1.529,-0.27,6272,0.269014845724246
0.047,0,0.54,1.077,4.01451,0,0.82,0.831,0.12,5070,0.432261593304562
0.03889,2,0.854,1.483,2.5199464,0,1.24,1.47,0.23,6160,0.261839050603465
0.0479,0,0.059,0.565,4.234516,0.124,0.816,0.788,-0.04,5079,0.327119676595072
0.0172,0,0.0151,0.15,0.853585,0,0.93,0.87,0.03,5313,4.47407407407407
0.0431,0,0.92,1.327,2.977641,0,1.207,1.296,0.18,5740,0.39370874261627
0.0426,0,0.85,1.28,2.916243,0.0142,1.22,1.56,0.41,5638,0.405311584472656
0.04126,0,1.462,1.358,2.70339,0,1.282,1.482,0.047,6304,0.583778454955106
0.0509,0,0.599,1.571,3.54387,0,1.404,1.625,0.19,6430,0.154489250875332
0.0477,0,2.8,1.05,3.6314,0.16,1.14,1.61,0.05,5900,2.41874527588813
0.0421,0,0.503,1.224,3.361006,0.054,0.888,0.87,-0.2,5450,0.274298688817803
0.01655,0,1.168,1.386,0.78884,0.0046,0.97,0.99,0.02,5500,0.438685370876797
0.0818,0,10.1,1.05,8.8849116,0.57,0.91,0.89,0.3,5200,8.72475974516791
0.059,0,0.484,0.955,5.20851,0.047,1.01,1.78,0.15,5150,0.555693410512336
0.053,0,0.67,1.4,3.922814,0,1.28,1.32,0.12,6350,0.244169096209913
0.0362,0,1.323,1.02,2.516729,0.016,1.001,0.925,0.43,5403,1.24669244860574
0.0452,0,0.892,1.426,3.128992,0.049,1.259,1.319,0.07,6330,0.307614128076293
0.0454,0,11.79,1.217,3.1915239,0.26,1.213,1.377,-0.177,6429,6.54096869193186
0.0498,0,1.054,1.332,3.6467,0.025,1.236,1.435,0.11,6096,0.445992891140742
0.04079,0,1.06,1.252,2.788491,0,1.163,1.137,0.24,5960,0.540123258002621
0.0548,0,0.5,1.08,4.9816872,0.06,0.884,0.863,0.05,5200,0.396916120510085
0.0362,0,0.9,1.7,3.6623817,0,1.56,1.64,0.03,6600,0.183187461835945
0.02591,0,2.47,1.33,1.4857108,0.011,1.16,1.05,0.26,5781,1.04988572397697
0.0359,0,1.032,1.104,2.3412083,0,1.129,1.147,0.07,6075,0.766959581016045
0.0531,0,0.514,0.86,4.3050011,0,0.514,0.86,-0.04,5900,0.80810494673425
0.471,0,1.02,1.2,114.7309,0.036,1.1,1.82,-0.17,5600,0.590277777777778
0.664,0,0.020132,0.55954,192.363,0.039,1.1,1.82,-0.17,5600,0.114919441369271
0.0533,0,0.57,1.3,4.465633,0,1.01,1.06,-0.2,5900,0.25944469731452
0.0499,0,0.542,1.428,3.7520656,0,1.18,1.477,-0.17,6300,0.186129265788811
0.0439,2,1.275,1.321,3.0763402,0,1.192,1.475,0.01,6200,0.553097546437984
0.0361,0,7.246,0.867,2.875317,0.015,0.756,0.694,0.35,4595,11.1183678178349
0.01685,0,0.010475,0.133962,0.8374907,0,0.91,1.065,-0.15,5643,4.35721673870944
0.241,0,0.054106,0.214156,45.294301,0,0.91,1.065,-0.15,5643,5.50877061368636
0.0524,0,0.59,1.22,4.3176782,0.038,1.01,0.93,-0.02,5700,0.324917063542764
0.02312,0,1.1215,1.363,1.33823187,0,0.93,1.15,-0.03,5500,0.442906149659555
0.0393,0,0.761,1.099,3.0300722,0,0.88,0.85,0.001,5250,0.573312722632972
0.0499,0,0.276,1.162,4.3225186,0,0.89,1.136,-0.46,5800,0.175910068572753
0.05485,0,1.615,1.615,4.1250707,0,1.293,1.554,-0.04,6390,0.383402505535374
0.02872,0,0.0727,0.3767,2.64385,0.15,0.452,0.464,-0.32,3684,1.3600270624493
0.0185,0,0.0008807961,0.06014599,1.3658,0,0.452,0.464,-0.32,3684,4.04813837922803
0.0574,0,0.38,1.43,4.37809,0,1.32,1.88,0.08,5570,0.129949760738552
0.0226,0,1.91,1.305,1.30618608,0,0.88,0.85,0.001,5720,0.859412828682521
0.0556,0,0.43,1.75,4.4379637,0.01,1.09,1.42,0.08,5953,0.0802332361516035
0.0446,0,0.68,1.27,3.0565114,0,1.26,1.59,0.24,5890,0.331969167875344
0.04571,0,0.867,1.86,3.24406,0.035,1.211,1.67,0.272,5754,0.134734949779762
0.0457,0,0.244,0.792,3.922727,0.03,0.825,0.846,0.11,4800,0.491150150623674
0.407,0,0.84,1.05,95.2738,0.11,0.99,0.94,-0.01,5625,0.72562358276644
0.031,0,0.0432,0.346,3.3366487,0.017,0.51,0.48,0.17,3652,1.04293069706205
0.015690907,2,0.0254,0.1746,0.7365515,0.04,0.96,0.96,0.3,5219,4.77200619184862
0.0523,0,0.267,0.825,4.640382,0.067,0.886,0.923,0.06,5330,0.475498789548376
0.053,0,0.0126,0.1319,4.72673978,0,0.911,0.919,-0.18,5669,5.49080674466419
0.0444,0,1.855,1.302,3.446459,0.12,0.986,1.038,-0.06,5870,0.840448219090858
0.0578,0,0.27,1.08,4.86069,0,1.09,1.19,-0.01,6040,0.214334705075446
0.023,0,1.345,1.168,1.354133,0,0.88,0.89,0.15,5227,0.844099719613796
0.0419,2,0.711,1.34,2.810595,0.035,1.242,1.215,0.13,6304,0.29549844894485
0.0546,0,2.32,1.39,4.086052,0,1.3,1.75,-0.31,6600,0.863860435899508
0.09,0,0.72,1.19,9.20205,0,1.1,1.15,0.05,6190,0.427259386206287
0.0466,0,0.567,1.19,3.652836,0.032,1.01,0.959,0.31,5500,0.336466766637451
0.051,0,1.06,1.47,3.9791,0,1.14,1.14,0.37,5924,0.333698197683442
0.0486,0,0.28,1.27,4.055259,0,0.93,0.895,-0.12,5400,0.1366931867722
