"Experiment","Run","Number","Feature","Margs","Data"
"S3",1,"Feature1","x5*x7",0.999999982974589,"_deprecated_195_auto_price"
"S3",1,"Feature2","x12",0.99440711368104,"_deprecated_195_auto_price"
"S3",1,"Feature3","x5",0.327511594863278,"_deprecated_195_auto_price"
"S3",1,"Feature4","x7*x12",0.00241726168625606,"_deprecated_195_auto_price"
"S3",1,"Feature5","x12*x12",0.0015039858799586,"_deprecated_195_auto_price"
"S3",1,"Feature1","x5*x7",0.999999982974589,"_deprecated_207_autoPrice"
"S3",1,"Feature2","x12",0.99440711368104,"_deprecated_207_autoPrice"
"S3",1,"Feature3","x5",0.327511594863278,"_deprecated_207_autoPrice"
"S3",1,"Feature4","x7*x12",0.00241726168625606,"_deprecated_207_autoPrice"
"S3",1,"Feature5","x12*x12",0.0015039858799586,"_deprecated_207_autoPrice"
"S3",1,"Feature1","x4",0.997798479237955,"1027_ESL"
"S3",1,"Feature2","x2",0.917748604649202,"1027_ESL"
"S3",1,"Feature3","x1*x3",0.913583390411382,"1027_ESL"
"S3",1,"Feature4","x3",0.191623791942949,"1027_ESL"
"S3",1,"Feature5","x3",0.185689478691301,"1027_ESL"
"S3",1,"Feature6","x1",0.13064883465947,"1027_ESL"
"S3",1,"Feature7","x4*x2",0.0881875023464306,"1027_ESL"
"S3",1,"Feature8","x1*x1",0.00423496333799822,"1027_ESL"
"S3",1,"Feature1","troot(x3)",1,"1028_SWD"
"S3",1,"Feature2","x5",0.999999999846733,"1028_SWD"
"S3",1,"Feature3","x8",0.999998551042744,"1028_SWD"
"S3",1,"Feature4","x2",0.994817093534848,"1028_SWD"
"S3",1,"Feature5","x9",0.852803089826279,"1028_SWD"
"S3",1,"Feature6","x10",0.787602919888165,"1028_SWD"
"S3",1,"Feature7","x9",0.528090068820628,"1028_SWD"
"S3",1,"Feature8","x7",0.518677659088654,"1028_SWD"
"S3",1,"Feature9","x7",0.428997637867501,"1028_SWD"
"S3",1,"Feature10","x7*x10",0.396272355323197,"1028_SWD"
"S3",1,"Feature11","cos_deg(x2)",0.0332272386822633,"1028_SWD"
"S3",1,"Feature1","x1",1,"1029_LEV"
"S3",1,"Feature2","x2",1,"1029_LEV"
"S3",1,"Feature3","x3",1,"1029_LEV"
"S3",1,"Feature4","x4",1,"1029_LEV"
"S3",1,"Feature1","x3",0.999999999576221,"1030_ERA"
"S3",1,"Feature2","x4",0.977725875489451,"1030_ERA"
"S3",1,"Feature3","x2",0.699266914482851,"1030_ERA"
"S3",1,"Feature4","x2",0.655940960889453,"1030_ERA"
"S3",1,"Feature5","x1",0.599645390565699,"1030_ERA"
"S3",1,"Feature6","x1",0.597765421180737,"1030_ERA"
"S3",1,"Feature7","x1",0.548906354336948,"1030_ERA"
"S3",1,"Feature1","x13",0.999310888908709,"1089_USCrime"
"S3",1,"Feature2","x4",0.80413513189784,"1089_USCrime"
"S3",1,"Feature3","x1",0.683627075394181,"1089_USCrime"
"S3",1,"Feature4","x1",0.556770596671487,"1089_USCrime"
"S3",1,"Feature5","x5",0.470797201730153,"1089_USCrime"
"S3",1,"Feature6","x4",0.427187330442301,"1089_USCrime"
"S3",1,"Feature7","x10",0.0947782932560646,"1089_USCrime"
"S3",1,"Feature8","x9",0.0823293857911249,"1089_USCrime"
"S3",1,"Feature9","x12",0.0383842628434793,"1089_USCrime"
"S3",1,"Feature10","sin_deg(x1)",0.0171316316263084,"1089_USCrime"
"S3",1,"Feature11","cos_deg(x13)",0.00651615770108834,"1089_USCrime"
"S3",1,"Feature12","sigmoid(x8)",0.00613252034731215,"1089_USCrime"
"S3",1,"Feature13","x13*x4",0.00405842028729647,"1089_USCrime"
"S3",1,"Feature14","sigmoid(x5)",0.00303808301651635,"1089_USCrime"
"S3",1,"Feature1","x4",0.941212730894918,"1096_FacultySalaries"
"S3",1,"Feature2","x2",0.563762459236251,"1096_FacultySalaries"
"S3",1,"Feature3","x3",0.315523720293322,"1096_FacultySalaries"
"S3",1,"Feature4","x1",0.21189107733109,"1096_FacultySalaries"
"S3",1,"Feature1","x1",0.994075073695395,"192_vineyard"
"S3",1,"Feature2","x2",0.241982927151306,"192_vineyard"
"S3",1,"Feature1","x21",1,"197_cpu_act"
"S3",1,"Feature2","x18",1,"197_cpu_act"
"S3",1,"Feature3","x10",1,"197_cpu_act"
"S3",1,"Feature4","troot(x9)*cos_deg(x17)",1,"197_cpu_act"
"S3",1,"Feature5","p0(1+(p0(sigmoid(x18))*x21))",1,"197_cpu_act"
"S3",1,"Feature6","sin_deg(x3)",1,"197_cpu_act"
"S3",1,"Feature7","x20",1,"197_cpu_act"
"S3",1,"Feature8","(troot(sigmoid(x21))*x17)*x21",1,"197_cpu_act"
"S3",1,"Feature9","sin_deg(1+(x7+x5))",1,"197_cpu_act"
"S3",1,"Feature10","x18*cos_deg(p0(x21))",1,"197_cpu_act"
"S3",1,"Feature11","cos_deg(p0(x21))",1,"197_cpu_act"
"S3",1,"Feature12","p0(x21)",1,"197_cpu_act"
"S3",1,"Feature13","x16",1,"197_cpu_act"
"S3",1,"Feature14","x8",0.999999999999998,"197_cpu_act"
"S3",1,"Feature15","cos_deg(x17)",0.999999999999641,"197_cpu_act"
"S3",1,"Feature16","x1",0.999999961360174,"197_cpu_act"
"S3",1,"Feature17","x21*p0(x15)",0.994007102531623,"197_cpu_act"
"S3",1,"Feature18","p0(x20)",0.583198941220194,"197_cpu_act"
"S3",1,"Feature1","x4",1,"210_cloud"
"S3",1,"Feature2","x3",0.999999999996436,"210_cloud"
"S3",1,"Feature3","x5",0.838014203027718,"210_cloud"
"S3",1,"Feature4","x2",0.13066463598906,"210_cloud"
"S3",1,"Feature5","x1",0.106210787355027,"210_cloud"
"S3",1,"Feature1","x3*x3",1,"225_puma8NH"
"S3",1,"Feature2","cos_deg(cos_deg(troot(x2)))",1,"225_puma8NH"
"S3",1,"Feature3","x2*((x3*x3)*sigmoid(x3))",1,"225_puma8NH"
"S3",1,"Feature4","x2*sigmoid(x2*x3)",1,"225_puma8NH"
"S3",1,"Feature5","x3",0.782609640185838,"225_puma8NH"
"S3",1,"Feature6","x2",0.65217159832924,"225_puma8NH"
"S3",1,"Feature7","x3",0.608707803083263,"225_puma8NH"
"S3",1,"Feature8","x2",0.586956262112862,"225_puma8NH"
"S3",1,"Feature9","x3*x2",0.543516879865092,"225_puma8NH"
"S3",1,"Feature10","x3",0.543488556904204,"225_puma8NH"
"S3",1,"Feature11","x3*x2",0.456568031454493,"225_puma8NH"
"S3",1,"Feature12","x2",0.434788432993166,"225_puma8NH"
"S3",1,"Feature1","(sin_deg(x10)*x6)*x3",1,"227_cpu_small"
"S3",1,"Feature2","p0(x12)",1,"227_cpu_small"
"S3",1,"Feature3","x6",1,"227_cpu_small"
"S3",1,"Feature4","(sin_deg(x10)*p0(x12))*cos_deg(x10)",1,"227_cpu_small"
"S3",1,"Feature5","sin_deg(x10)",1,"227_cpu_small"
"S3",1,"Feature6","x9",1,"227_cpu_small"
"S3",1,"Feature7","cos_deg(x9)",1,"227_cpu_small"
"S3",1,"Feature8","x12*p0(x8)",1,"227_cpu_small"
"S3",1,"Feature9","sin_deg(x10)*p0(x12)",1,"227_cpu_small"
"S3",1,"Feature10","(x12*p0(x8))*x7",1,"227_cpu_small"
"S3",1,"Feature11","sin_deg(x10)*p0(x8)",1,"227_cpu_small"
"S3",1,"Feature12","x11",1,"227_cpu_small"
"S3",1,"Feature13","p0(x8)",1,"227_cpu_small"
"S3",1,"Feature14","p0(x8)*x6",0.99999999998374,"227_cpu_small"
"S3",1,"Feature15","x10",0.9166666672311,"227_cpu_small"
"S3",1,"Feature16","x1",0.833333333443566,"227_cpu_small"
"S3",1,"Feature17","x3",0.833333332690615,"227_cpu_small"
"S3",1,"Feature18","x1",0.666666666138122,"227_cpu_small"
"S3",1,"Feature19","x10",0.666666665519155,"227_cpu_small"
"S3",1,"Feature20","x3",0.666666665483781,"227_cpu_small"
"S3",1,"Feature1","x1",0.662608698046274,"228_elusage"
"S3",1,"Feature2","x1",0.662607063230259,"228_elusage"
"S3",1,"Feature3","cos_deg(x1)",0.334681309597437,"228_elusage"
"S3",1,"Feature4","x1*x1",0.33468053895543,"228_elusage"
"S3",1,"Feature5","sin_deg(x1)",0.252832189341118,"228_elusage"
"S3",1,"Feature1","(x1*x6)*x1",1,"229_pwLinear"
"S3",1,"Feature2","x2",1,"229_pwLinear"
"S3",1,"Feature3","x3",0.999999999997571,"229_pwLinear"
"S3",1,"Feature4","x2*x1",0.999999997292939,"229_pwLinear"
"S3",1,"Feature5","x1*x3",0.999999995454275,"229_pwLinear"
"S3",1,"Feature6","x7",0.999999993464276,"229_pwLinear"
"S3",1,"Feature7","x5",0.999988692353945,"229_pwLinear"
"S3",1,"Feature8","x5*x1",0.999589733377674,"229_pwLinear"
"S3",1,"Feature9","x1",0.670149147421037,"229_pwLinear"
"S3",1,"Feature10","x1",0.664721672043142,"229_pwLinear"
"S3",1,"Feature11","x3*x1",0.00439925729643035,"229_pwLinear"
"S3",1,"Feature12","x3*x1",0.00439925622533035,"229_pwLinear"
"S3",1,"Feature1","x4",0.9999999999986,"230_machine_cpu"
"S3",1,"Feature2","x3*x3",0.999999986289408,"230_machine_cpu"
"S3",1,"Feature3","x2",0.999959225559728,"230_machine_cpu"
"S3",1,"Feature4","x5",0.859269251233411,"230_machine_cpu"
"S3",1,"Feature5","x3",0.824177668306673,"230_machine_cpu"
"S3",1,"Feature6","cos_deg(x4)",0.0033379930087628,"230_machine_cpu"
"S3",1,"Feature7","x5*x4",0.0021041267440096,"230_machine_cpu"
"S3",1,"Feature8","x2*x4",0.00166402957051843,"230_machine_cpu"
"S3",1,"Feature1","x3",1,"294_satellite_image"
"S3",1,"Feature2","sin_deg(x23*x23)",1,"294_satellite_image"
"S3",1,"Feature3","x9",1,"294_satellite_image"
"S3",1,"Feature4","x10",1,"294_satellite_image"
"S3",1,"Feature5","cos_deg(x23)",1,"294_satellite_image"
"S3",1,"Feature6","x20*x21",1,"294_satellite_image"
"S3",1,"Feature7","x3*x33",1,"294_satellite_image"
"S3",1,"Feature8","x29*x25",1,"294_satellite_image"
"S3",1,"Feature9","x21",1,"294_satellite_image"
"S3",1,"Feature10","x25",1,"294_satellite_image"
"S3",1,"Feature11","x29",1,"294_satellite_image"
"S3",1,"Feature12","x33",1,"294_satellite_image"
"S3",1,"Feature13","sin_deg(x33)",1,"294_satellite_image"
