"Data","n","p","Experiment","Run","Correlation","MAE","RMSE","LMP","R2","Count_P","Time","First","Second","Third","FirstM","SecondM","ThirdM","Mean_CORR","High_Corr_Count"
"_deprecated_195_auto_price",159,16,"S3",1,0.938349062002461,0.0513912994148491,0.0855129378594967,142.233546070653,0.86072007131497,3,573.745,"x5*x7","x12","x5",0.999999982974589,0.99440711368104,0.327511594863278,0.380661948618152,11
"_deprecated_207_autoPrice",159,16,"S3",1,0.938349062002461,0.0513912994148491,0.0855129378594967,142.233546070653,0.86072007131497,3,558.973,"x5*x7","x12","x5",0.999999982974589,0.99440711368104,0.327511594863278,0.380661948618151,11
"1027_ESL",488,5,"S3",1,0.927540811628898,0.053717443920406,0.0649837553259299,463.879109889199,0.858597363817821,6,771.21,"x4","x2","x1*x3",0.997798479237955,0.917748604649202,0.913583390411382,0.585962704350161,0
"1028_SWD",1000,11,"S3",1,0.643302229718222,0.16623285537484,0.210493112466662,84.8517466728733,0.413579185936581,10,1245.722,"troot(x3)","x5","x8",1,0.999999999846733,0.999998551042744,0.126556494295518,0
"1029_LEV",1000,5,"S3",1,0.70834133115534,0.127694645167823,0.167557534341221,324.166330302821,0.496682968851231,4,1503.695,"x1","x2","x3",1,1,1,0.0511735377999165,0
"1030_ERA",1000,5,"S3",1,0.629290872186885,0.15128485221838,0.191449648205735,138.529464582462,0.393805110510394,7,1553.491,"x3","x4","x2",0.999999999576221,0.977725875489451,0.699266914482851,0.0707040092319293,0
"1089_USCrime",47,14,"S3",1,0.888792719364254,0.117313585744001,0.146954166944386,33.306483808544,0.713656327594232,6,588.337,"x13","x4","x1",0.999310888908709,0.80413513189784,0.683627075394181,0.328885802455492,1
"1096_FacultySalaries",50,5,"S3",1,0.949236040061773,0.0894278216580604,0.11125853491722,40.2482900825505,0.799193270268283,4,531.967999999999,"x4","x2","x3",0.941212730894918,0.563762459236251,0.315523720293322,0.543057953672732,3
"192_vineyard",52,3,"S3",1,0.872332623265954,0.107218564999898,0.163596023491011,26.2036739732768,0.575194051659003,2,501.684000000001,"x1","x2",NA,0.994075073695395,0.241982927151306,NA,0.722479253020938,0
"197_cpu_act",8192,22,"S3",1,0.990590798036596,0.0194226711964796,0.0264931979658277,13566.7975282072,0.981257297126975,18,13241.345,"x21","x18","x10",1,1,1,0.239802137947572,8
